tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-70,0,125,CAEQ4dCDmNW3u/K2ARgBIAEqBwgBFQAAgDsqAggCKgcIAxUAAH8/,1739971237.296608,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-61,0,75,CAEQ4dCDmNW3u/K2ARgBIAEqBwgBFQAAgDsqAggCKgcIAxUAAH8/,1739971237.297764,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-68,0,26,CAEQ4dCDmNW3u/K2ARgBIAEqBwgBFQAAgDsqAggCKgcIAxUAAH8/,1739971237.29965,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,127,CAEQ4dCDmNW3u/K2ARgBIAEqBwgBFQAAgDsqAggCKgcIAxUAAH8/,1739971237.299916,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ4dCDmNW3u/K2ARgBIAEqBwgBFQAAgDsqAggCKgcIAxUAAH8/,1739971237.315853,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ4dCDmNW3u/K2ARgBIAEqBwgBFQAAgDsqAggCKgcIAxUAAH8/,1739971237.31976,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ4dCDmNW3u/K2ARgBIAEqBwgBFQAAgDsqAggCKgcIAxUAAH8/,1739971237.323716,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-63,0,76,CAEQ87TG6d2EvKF2GAEgASoHCAEVAABcPioCCAIqBwgDFQAAST8=,1739971238.296725,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-71,0,126,CAEQ87TG6d2EvKF2GAEgASoHCAEVAABcPioCCAIqBwgDFQAAST8=,1739971238.29751,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-65,0,27,CAEQ87TG6d2EvKF2GAEgASoHCAEVAABcPioCCAIqBwgDFQAAST8=,1739971238.298029,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ87TG6d2EvKF2GAEgASoHCAEVAABcPioCCAIqBwgDFQAAST8=,1739971238.314034,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ87TG6d2EvKF2GAEgASoHCAEVAABcPioCCAIqBwgDFQAAST8=,1739971238.318895,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ87TG6d2EvKF2GAEgASoHCAEVAABcPioCCAIqBwgDFQAAST8=,1739971238.320941,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-62,0,28,CAEQub/k2Oy/8tSyARgBIAEqBwgBFQAAdz8qAggCKgcIAxUAABA9,1739971239.296409,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-74,0,127,CAEQub/k2Oy/8tSyARgBIAEqBwgBFQAAdz8qAggCKgcIAxUAABA9,1739971239.296922,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-82,0,128,CAEQub/k2Oy/8tSyARgBIAEqBwgBFQAAdz8qAggCKgcIAxUAABA9,1739971239.29704,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
