tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-80,0,127,CAEQmfjdo/vvraudARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896425.348009,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-55,0,125,CAEQmfjdo/vvraudARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896425.349264,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,102,CAEQmfjdo/vvraudARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896425.349501,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-64,0,123,CAEQmfjdo/vvraudARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896425.349661,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQmfjdo/vvraudARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896425.367698,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQmfjdo/vvraudARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896425.367986,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQmfjdo/vvraudARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896425.370743,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-59,0,126,CAEQooL41Krk/fufARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896426.346978,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-77,0,103,CAEQooL41Krk/fufARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896426.348418,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-77,0,124,CAEQooL41Krk/fufARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739896426.349194,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
