tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-65,0,29,CAEQtpj8veHTzINmGAEgASoHCAEVAAB/PyoCCAIqAggD,1739887633.715227,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,29,CAEQtpj8veHTzINmGAEgASoHCAEVAAB/PyoCCAIqAggD,1739887633.716497,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-67,0,29,CAEQtpj8veHTzINmGAEgASoHCAEVAAB/PyoCCAIqAggD,1739887633.71668,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-62,0,29,CAEQtpj8veHTzINmGAEgASoHCAEVAAB/PyoCCAIqAggD,1739887633.716833,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQtpj8veHTzINmGAEgASoHCAEVAAB/PyoCCAIqAggD,1739887633.733777,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQtpj8veHTzINmGAEgASoHCAEVAAB/PyoCCAIqAggD,1739887633.734931,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQtpj8veHTzINmGAEgASoHCAEVAAB/PyoCCAIqAggD,1739887633.735139,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-77,0,30,CAEQn7782oaOs4n8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887634.713908,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-65,0,30,CAEQn7782oaOs4n8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887634.714384,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-59,0,30,CAEQn7782oaOs4n8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887634.716771,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-71,0,30,CAEQn7782oaOs4n8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887634.717569,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQn7782oaOs4n8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887634.733525,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
