tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-63,0,29,CAEQ9+W0/+K7uPT8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887874.718988,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,29,CAEQ9+W0/+K7uPT8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887874.720203,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-70,0,29,CAEQ9+W0/+K7uPT8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887874.720399,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-62,0,29,CAEQ9+W0/+K7uPT8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887874.722566,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ9+W0/+K7uPT8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887874.740939,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ9+W0/+K7uPT8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887874.743083,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ9+W0/+K7uPT8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887874.743308,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-69,0,30,CAEQ2MeEuZzAsvXLARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887875.715052,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,30,CAEQ2MeEuZzAsvXLARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887875.716011,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,30,CAEQ2MeEuZzAsvXLARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887875.718475,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-66,0,30,CAEQ2MeEuZzAsvXLARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887875.719006,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ2MeEuZzAsvXLARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887875.740917,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ2MeEuZzAsvXLARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887875.741695,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ2MeEuZzAsvXLARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739887875.742475,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-68,0,31,CAEQjenszoL3yed/GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887876.720354,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,31,CAEQjenszoL3yed/GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887876.720823,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-65,0,31,CAEQjenszoL3yed/GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887876.722148,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-69,0,31,CAEQjenszoL3yed/GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887876.72282,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQjenszoL3yed/GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887876.739279,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQjenszoL3yed/GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887876.739756,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-71,0,32,CAEQ0dH1+6/ww88+GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887877.718183,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-66,0,32,CAEQ0dH1+6/ww88+GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887877.718444,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-74,0,32,CAEQ0dH1+6/ww88+GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887877.718609,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-73,0,32,CAEQ0dH1+6/ww88+GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887877.720486,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ0dH1+6/ww88+GAEgASoHCAEVAAB/PyoCCAIqAggD,1739887877.739972,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
