tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-61,0,229,CAEQ4Z3r59Tz2MvJARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.378531,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,214,CAEQ4Z3r59Tz2MvJARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.380335,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-73,0,234,CAEQ4Z3r59Tz2MvJARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.381643,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,232,CAEQ4Z3r59Tz2MvJARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.383121,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ4Z3r59Tz2MvJARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.400997,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ4Z3r59Tz2MvJARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.415387,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-87,0,215,CAEQ3/6579y0hrV7GAIgASoHCAEVAAB/PyoCCAIqAggD,1739889141.571501,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-63,0,235,CAEQ3/6579y0hrV7GAIgASoHCAEVAAB/PyoCCAIqAggD,1739889141.572304,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-60,0,230,CAEQ3/6579y0hrV7GAIgASoHCAEVAAB/PyoCCAIqAggD,1739889141.574194,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-61,0,233,CAEQ3/6579y0hrV7GAIgASoHCAEVAAB/PyoCCAIqAggD,1739889141.574794,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-61,0,234,CAEQlrLcg+nLtpalARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.722497,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
127,-71,0,231,CAEQlrLcg+nLtpalARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.723754,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-82,0,216,CAEQlrLcg+nLtpalARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.724683,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-73,0,236,CAEQlrLcg+nLtpalARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889141.727428,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-68,0,232,CAEQyPOV1Lfn4OTHARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889142.131294,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-62,0,235,CAEQyPOV1Lfn4OTHARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889142.133521,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-66,0,237,CAEQyPOV1Lfn4OTHARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889142.134552,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-73,0,217,CAEQyPOV1Lfn4OTHARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889142.136159,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQyPOV1Lfn4OTHARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889142.152773,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
127,-62,0,233,CAEQgL6SooakoKYMGAEgASoHCAEVAAB/PyoCCAIqAggD,1739889142.378156,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,238,CAEQgL6SooakoKYMGAEgASoHCAEVAAB/PyoCCAIqAggD,1739889142.37857,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,218,CAEQgL6SooakoKYMGAEgASoHCAEVAAB/PyoCCAIqAggD,1739889142.379866,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-61,0,236,CAEQgL6SooakoKYMGAEgASoHCAEVAAB/PyoCCAIqAggD,1739889142.382294,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQgL6SooakoKYMGAEgASoHCAEVAAB/PyoCCAIqAggD,1739889142.40064,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-68,0,239,CAEQ+7WthJ7HlPQbGAIgASoHCAEVAAB/PyoCCAIqAggD,1739889142.571055,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-65,0,237,CAEQ+7WthJ7HlPQbGAIgASoHCAEVAAB/PyoCCAIqAggD,1739889142.57258,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-68,0,234,CAEQ+7WthJ7HlPQbGAIgASoHCAEVAAB/PyoCCAIqAggD,1739889142.573892,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-81,0,219,CAEQ+7WthJ7HlPQbGAIgASoHCAEVAAB/PyoCCAIqAggD,1739889142.577545,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ+7WthJ7HlPQbGAIgASoHCAEVAAB/PyoCCAIqAggD,1739889142.591165,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ+7WthJ7HlPQbGAIgASoHCAEVAAB/PyoCCAIqAggD,1739889142.59285,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ+7WthJ7HlPQbGAIgASoHCAEVAAB/PyoCCAIqAggD,1739889142.59887,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
127,-69,0,235,CAEQirSZ9fzZ571IGAUgASoHCAEVAAB/PyoCCAIqAggD,1739889142.719807,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-75,0,220,CAEQirSZ9fzZ571IGAUgASoHCAEVAAB/PyoCCAIqAggD,1739889142.722839,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-70,0,238,CAEQirSZ9fzZ571IGAUgASoHCAEVAAB/PyoCCAIqAggD,1739889142.724267,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
127,-63,0,240,CAEQirSZ9fzZ571IGAUgASoHCAEVAAB/PyoCCAIqAggD,1739889142.730872,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
0,-200,0,0,CAEQirSZ9fzZ571IGAUgASoHCAEVAAB/PyoCCAIqAggD,1739889142.744923,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQirSZ9fzZ571IGAUgASoHCAEVAAB/PyoCCAIqAggD,1739889142.75464,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQirSZ9fzZ571IGAUgASoHCAEVAAB/PyoCCAIqAggD,1739889142.75896,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-64,0,241,CAEQiMiqxcHqxZqyARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889143.129625,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-68,0,236,CAEQiMiqxcHqxZqyARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889143.132111,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-73,0,221,CAEQiMiqxcHqxZqyARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889143.133446,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-68,0,239,CAEQiMiqxcHqxZqyARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889143.133934,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQiMiqxcHqxZqyARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889143.148529,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQiMiqxcHqxZqyARgDIAEqBwgBFQAAfz8qAggCKgIIAw==,1739889143.153863,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
