tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-67,0,12,CAEQguu+mpnY/618GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739974329.286178,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-86,0,10,CAEQguu+mpnY/618GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739974329.290739,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,197,CAEQguu+mpnY/618GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739974329.291068,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,66,CAEQguu+mpnY/618GAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739974329.291885,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,13,CAEQtZrDxKantJ3gARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974330.29082,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,67,CAEQtZrDxKantJ3gARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974330.290968,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-69,0,198,CAEQtZrDxKantJ3gARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974330.292782,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQtZrDxKantJ3gARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974330.31084,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-75,0,14,CAEQmvT8xKXBlrm5ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974331.28987,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-92,0,11,CAEQmvT8xKXBlrm5ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974331.290037,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-73,0,199,CAEQmvT8xKXBlrm5ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974331.290706,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
