tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-57,0,12,CAEQjcWukPet6/lHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703553.368088,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-68,0,196,CAEQjcWukPet6/lHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703553.370352,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-78,0,90,CAEQjcWukPet6/lHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703553.37061,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQjcWukPet6/lHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703553.387826,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQjcWukPet6/lHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703553.389326,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQjcWukPet6/lHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703553.391205,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-57,0,16,CAEQ2pXulu/Ai4cfGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703554.370943,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,200,CAEQ2pXulu/Ai4cfGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703554.371552,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-83,0,94,CAEQ2pXulu/Ai4cfGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703554.372014,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ2pXulu/Ai4cfGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703554.382306,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ2pXulu/Ai4cfGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703554.389145,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ2pXulu/Ai4cfGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703554.395174,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-57,0,20,CAEQ+M+4kvbzlsQUGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703555.371294,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,204,CAEQ+M+4kvbzlsQUGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703555.372374,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-81,0,98,CAEQ+M+4kvbzlsQUGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703555.373426,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ+M+4kvbzlsQUGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703555.387822,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ+M+4kvbzlsQUGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703555.391276,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ+M+4kvbzlsQUGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703555.392574,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-99,0,102,CAEQ4c6MkKDst6WbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743703556.370292,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-60,0,24,CAEQ4c6MkKDst6WbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743703556.370481,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,80,CAEQ4c6MkKDst6WbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743703556.371333,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-58,0,28,CAEQi9yi3K+MjYD/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743703557.370299,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-80,0,106,CAEQi9yi3K+MjYD/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743703557.370832,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-71,0,84,CAEQi9yi3K+MjYD/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743703557.371847,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQi9yi3K+MjYD/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743703557.391077,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQi9yi3K+MjYD/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743703557.392513,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQi9yi3K+MjYD/ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743703557.393687,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-72,0,88,CAEQ/ujInaux7I1wGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703558.369856,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-56,0,32,CAEQ/ujInaux7I1wGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703558.370033,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-80,0,109,CAEQ/ujInaux7I1wGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703558.371101,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ/ujInaux7I1wGAEgASoHCAEVAAB/PyoCCAIqAggD,1743703558.390255,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
