tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-87,0,190,CAEQg76vtf+loe5yGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705024.400442,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-53,0,85,CAEQg76vtf+loe5yGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705024.401798,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-80,0,10,CAEQg76vtf+loe5yGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705024.403062,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQg76vtf+loe5yGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705024.412789,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQg76vtf+loe5yGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705024.421344,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQg76vtf+loe5yGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705024.421557,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-61,0,89,CAEQhbnfwKDVvNlHGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1743705025.400386,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-78,0,194,CAEQhbnfwKDVvNlHGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1743705025.40103,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,14,CAEQhbnfwKDVvNlHGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1743705025.401644,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQhbnfwKDVvNlHGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1743705025.420559,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-57,0,93,CAEQ6KCt65mdkpNeGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705026.400327,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-85,0,18,CAEQ6KCt65mdkpNeGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705026.400969,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
