tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-80,0,248,CAEQ5svn+/LNzsjFARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613433.879957,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-85,0,127,CAEQ5svn+/LNzsjFARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613433.880928,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-56,0,42,CAEQ5svn+/LNzsjFARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613433.8822,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ5svn+/LNzsjFARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613433.895834,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ5svn+/LNzsjFARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613433.897549,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ5svn+/LNzsjFARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613433.899178,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
127,-73,0,43,CAEQ1tHqq9TqkJWnARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1743613434.169129,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-65,0,249,CAEQ1tHqq9TqkJWnARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1743613434.169279,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-81,0,128,CAEQ1tHqq9TqkJWnARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1743613434.171762,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ1tHqq9TqkJWnARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1743613434.183758,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ1tHqq9TqkJWnARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1743613434.185935,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ1tHqq9TqkJWnARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1743613434.188603,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
127,-63,0,44,CAEQ1rW30YuwnM8IGAEgASoCCAEqBwgCFQAAcD8qBwgDFQAAgD0=,1743613434.311896,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-69,0,250,CAEQ1rW30YuwnM8IGAEgASoCCAEqBwgCFQAAcD8qBwgDFQAAgD0=,1743613434.313203,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-78,0,129,CAEQ1rW30YuwnM8IGAEgASoCCAEqBwgCFQAAcD8qBwgDFQAAgD0=,1743613434.313748,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-77,0,251,CAEQxvuVg4PIurN2GAIgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1743613434.641056,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-74,0,45,CAEQxvuVg4PIurN2GAIgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1743613434.644205,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-75,0,130,CAEQxvuVg4PIurN2GAIgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1743613434.644589,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
0,-200,0,0,CAEQxvuVg4PIurN2GAIgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1743613434.658475,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQxvuVg4PIurN2GAIgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1743613434.659582,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQxvuVg4PIurN2GAIgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1743613434.674749,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-58,0,46,CAEQqPz1n8rkiJXgARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613434.874532,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-77,0,252,CAEQqPz1n8rkiJXgARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613434.87586,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-93,0,131,CAEQqPz1n8rkiJXgARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613434.876735,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQqPz1n8rkiJXgARgDIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743613434.892319,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-77,0,24,CAEQrrDU6u2i9LwCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743613435.167739,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
127,-74,0,47,CAEQrrDU6u2i9LwCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743613435.168676,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-80,0,132,CAEQrrDU6u2i9LwCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743613435.170399,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
0,-200,0,0,CAEQrrDU6u2i9LwCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743613435.186507,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQrrDU6u2i9LwCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743613435.187469,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
127,-65,0,48,CAEQl8v/paiRpeaoARgBIAEqAggBKgcIAhUAAAg+KgcIAxUAAF4/,1743613435.309258,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-70,0,133,CAEQl8v/paiRpeaoARgBIAEqAggBKgcIAhUAAAg+KgcIAxUAAF4/,1743613435.310613,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-74,0,25,CAEQl8v/paiRpeaoARgBIAEqAggBKgcIAhUAAAg+KgcIAxUAAF4/,1743613435.311349,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
