tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-69,0,131,CAEQ0a2ZwI3yidY6GAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740055539.584822,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-72,0,158,CAEQ0a2ZwI3yidY6GAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740055539.587282,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-69,0,4,CAEQ0a2ZwI3yidY6GAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740055539.587739,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-86,0,19,CAEQ0a2ZwI3yidY6GAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740055539.588384,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ0a2ZwI3yidY6GAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740055539.598737,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0a2ZwI3yidY6GAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740055539.605523,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ0a2ZwI3yidY6GAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740055539.60877,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-84,0,20,CAEQ+4Hs0Lz2rqe1ARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740055540.584604,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-68,0,132,CAEQ+4Hs0Lz2rqe1ARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740055540.584853,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-85,0,5,CAEQ+4Hs0Lz2rqe1ARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740055540.585613,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-71,0,159,CAEQ+4Hs0Lz2rqe1ARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740055540.586147,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ+4Hs0Lz2rqe1ARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740055540.606459,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ+4Hs0Lz2rqe1ARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740055540.607736,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ+4Hs0Lz2rqe1ARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740055540.609947,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-79,0,6,CAEQvdmB3KPYzNZiGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055541.5847,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-74,0,160,CAEQvdmB3KPYzNZiGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055541.585651,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-70,0,133,CAEQvdmB3KPYzNZiGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055541.587008,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-85,0,21,CAEQvdmB3KPYzNZiGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055541.590951,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQvdmB3KPYzNZiGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055541.606728,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQvdmB3KPYzNZiGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055541.607871,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQvdmB3KPYzNZiGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055541.615489,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-71,0,134,CAEQ1przmq+ckrhJGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055542.584829,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-81,0,22,CAEQ1przmq+ckrhJGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055542.585213,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-75,0,7,CAEQ1przmq+ckrhJGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055542.586253,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-75,0,161,CAEQ1przmq+ckrhJGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055542.589803,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ1przmq+ckrhJGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055542.607985,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ1przmq+ckrhJGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055542.608508,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ1przmq+ckrhJGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740055542.614434,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-73,0,162,CAEQ7+njv/bHisQCGAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740055543.584909,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-78,0,23,CAEQ7+njv/bHisQCGAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740055543.585195,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-68,0,135,CAEQ7+njv/bHisQCGAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740055543.586389,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
