tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-85,0,79,CAEQ0ry1l+a5jecdGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490891.836973,ble-pd-B43A31EF7B34,ble-pd-0C4314F46B26
127,-79,0,172,CAEQ0ry1l+a5jecdGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490891.840697,ble-pd-B43A31EF7B34,ble-pd-0C4314F46B3F
127,-77,0,47,CAEQ0ry1l+a5jecdGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490891.842067,ble-pd-B43A31EF7B34,ble-pd-0C4314F46CC2
127,-54,0,154,CAEQ0ry1l+a5jecdGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490891.845348,ble-pd-B43A31EF7B34,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ0ry1l+a5jecdGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490891.855192,ble-pd-B43A31EF7B34,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ0ry1l+a5jecdGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490891.859388,ble-pd-B43A31EF7B34,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0ry1l+a5jecdGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490891.865805,ble-pd-B43A31EF7B34,ble-pd-639AA0EB1D6C
127,-75,0,80,CAEQmurN2L+kq9ZcGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740490891.914953,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-72,0,173,CAEQmurN2L+kq9ZcGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740490891.915543,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-62,0,155,CAEQmurN2L+kq9ZcGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740490891.916767,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-73,0,48,CAEQmurN2L+kq9ZcGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740490891.923298,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQmurN2L+kq9ZcGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740490891.933687,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-80,0,81,CAEQ/773v/G34YXIARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490892.237888,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-73,0,49,CAEQ/773v/G34YXIARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490892.245066,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
127,-78,0,174,CAEQ/773v/G34YXIARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490892.245606,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-69,0,156,CAEQ/773v/G34YXIARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490892.249331,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ/773v/G34YXIARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490892.260116,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ/773v/G34YXIARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490892.262967,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ/773v/G34YXIARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490892.265868,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
127,-76,0,82,CAEQj+uRsuiChK7DARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1740490892.675097,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-79,0,50,CAEQj+uRsuiChK7DARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1740490892.677424,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-72,0,175,CAEQj+uRsuiChK7DARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1740490892.682582,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-71,0,157,CAEQj+uRsuiChK7DARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1740490892.684515,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQj+uRsuiChK7DARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1740490892.699016,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQj+uRsuiChK7DARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1740490892.701141,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQj+uRsuiChK7DARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1740490892.711827,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-69,0,83,CAEQ0Y7Pj5OW2fASGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490892.832669,ble-pd-B43A31EF7B34,ble-pd-0C4314F46B26
127,-80,0,51,CAEQ0Y7Pj5OW2fASGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490892.834627,ble-pd-B43A31EF7B34,ble-pd-0C4314F46CC2
127,-51,0,158,CAEQ0Y7Pj5OW2fASGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490892.835785,ble-pd-B43A31EF7B34,ble-pd-0C4314F469CC
127,-88,0,176,CAEQ0Y7Pj5OW2fASGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490892.836484,ble-pd-B43A31EF7B34,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ0Y7Pj5OW2fASGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490892.860912,ble-pd-B43A31EF7B34,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0Y7Pj5OW2fASGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490892.866469,ble-pd-B43A31EF7B34,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ0Y7Pj5OW2fASGAEgASoCCAEqBwgCFQAAfz8qAggD,1740490892.877103,ble-pd-B43A31EF7B34,ble-pd-639AA0EB1D6C
127,-61,0,159,CAEQvqz4zNacm+pXGAEgASoCCAEqBwgCFQAAej8qBwgDFQAAwDw=,1740490892.930614,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-72,0,177,CAEQvqz4zNacm+pXGAEgASoCCAEqBwgCFQAAej8qBwgDFQAAwDw=,1740490892.930736,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-77,0,84,CAEQvqz4zNacm+pXGAEgASoCCAEqBwgCFQAAej8qBwgDFQAAwDw=,1740490892.93083,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-69,0,52,CAEQvqz4zNacm+pXGAEgASoCCAEqBwgCFQAAej8qBwgDFQAAwDw=,1740490892.930931,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQvqz4zNacm+pXGAEgASoCCAEqBwgCFQAAej8qBwgDFQAAwDw=,1740490892.936827,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQvqz4zNacm+pXGAEgASoCCAEqBwgCFQAAej8qBwgDFQAAwDw=,1740490892.937453,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQvqz4zNacm+pXGAEgASoCCAEqBwgCFQAAej8qBwgDFQAAwDw=,1740490892.938027,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-84,0,178,CAEQoojhhumm1P/IARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490893.244717,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-91,0,85,CAEQoojhhumm1P/IARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490893.2457,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-75,0,53,CAEQoojhhumm1P/IARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1740490893.247088,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
