tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-73,0,157,CAEQx+HWhd3ynuP+ARgBIAEqAggBKgcIAhUAAGU/KgcIAxUAANg9,1740062178.763719,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-65,0,13,CAEQx+HWhd3ynuP+ARgBIAEqAggBKgcIAhUAAGU/KgcIAxUAANg9,1740062178.764702,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-73,0,186,CAEQx+HWhd3ynuP+ARgBIAEqAggBKgcIAhUAAGU/KgcIAxUAANg9,1740062178.765066,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-80,0,133,CAEQx+HWhd3ynuP+ARgBIAEqAggBKgcIAhUAAGU/KgcIAxUAANg9,1740062178.766292,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQx+HWhd3ynuP+ARgBIAEqAggBKgcIAhUAAGU/KgcIAxUAANg9,1740062178.777768,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQx+HWhd3ynuP+ARgBIAEqAggBKgcIAhUAAGU/KgcIAxUAANg9,1740062178.779762,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQx+HWhd3ynuP+ARgBIAEqAggBKgcIAhUAAGU/KgcIAxUAANg9,1740062178.788027,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-74,0,187,CAEQmOmM0P+wh7qbARgBIAEqAggBKgcIAhUAAGw/KgcIAxUAAKA9,1740062179.754394,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-73,0,158,CAEQmOmM0P+wh7qbARgBIAEqAggBKgcIAhUAAGw/KgcIAxUAAKA9,1740062179.754795,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-81,0,134,CAEQmOmM0P+wh7qbARgBIAEqAggBKgcIAhUAAGw/KgcIAxUAAKA9,1740062179.760575,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-66,0,14,CAEQmOmM0P+wh7qbARgBIAEqAggBKgcIAhUAAGw/KgcIAxUAAKA9,1740062179.761093,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQmOmM0P+wh7qbARgBIAEqAggBKgcIAhUAAGw/KgcIAxUAAKA9,1740062179.775099,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQmOmM0P+wh7qbARgBIAEqAggBKgcIAhUAAGw/KgcIAxUAAKA9,1740062179.776765,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQmOmM0P+wh7qbARgBIAEqAggBKgcIAhUAAGw/KgcIAxUAAKA9,1740062179.777914,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-73,0,159,CAEQjf3iqPa8ic8FGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740062180.755512,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-75,0,188,CAEQjf3iqPa8ic8FGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740062180.75731,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-67,0,15,CAEQjf3iqPa8ic8FGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740062180.761111,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQjf3iqPa8ic8FGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740062180.772126,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQjf3iqPa8ic8FGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740062180.777288,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-66,0,16,CAEQ/O/Ki/3Ql/zkARgBIAEqAggBKgcIAhUAADA+KgcIAxUAAFQ/,1740062181.756164,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-79,0,189,CAEQ/O/Ki/3Ql/zkARgBIAEqAggBKgcIAhUAADA+KgcIAxUAAFQ/,1740062181.756482,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-71,0,160,CAEQ/O/Ki/3Ql/zkARgBIAEqAggBKgcIAhUAADA+KgcIAxUAAFQ/,1740062181.757444,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-68,0,135,CAEQ/O/Ki/3Ql/zkARgBIAEqAggBKgcIAhUAADA+KgcIAxUAAFQ/,1740062181.759765,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ/O/Ki/3Ql/zkARgBIAEqAggBKgcIAhUAADA+KgcIAxUAAFQ/,1740062181.777196,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ/O/Ki/3Ql/zkARgBIAEqAggBKgcIAhUAADA+KgcIAxUAAFQ/,1740062181.781244,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ/O/Ki/3Ql/zkARgBIAEqAggBKgcIAhUAADA+KgcIAxUAAFQ/,1740062181.797383,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-74,0,161,CAEQqeb2i7Cyi5iSARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740062182.758049,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-73,0,190,CAEQqeb2i7Cyi5iSARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740062182.758333,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-75,0,136,CAEQqeb2i7Cyi5iSARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740062182.761183,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
