tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-70,0,130,CAEQv+7LgP2DuZ8HGAEgASoCCAEqBwgCFQAA8D0qBwgDFQAAYj8=,1740061511.734549,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-76,0,59,CAEQv+7LgP2DuZ8HGAEgASoCCAEqBwgCFQAA8D0qBwgDFQAAYj8=,1740061511.735713,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-66,0,0,CAEQv+7LgP2DuZ8HGAEgASoCCAEqBwgCFQAA8D0qBwgDFQAAYj8=,1740061511.738803,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-69,0,15,CAEQv+7LgP2DuZ8HGAEgASoCCAEqBwgCFQAA8D0qBwgDFQAAYj8=,1740061511.741221,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQv+7LgP2DuZ8HGAEgASoCCAEqBwgCFQAA8D0qBwgDFQAAYj8=,1740061511.758649,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQv+7LgP2DuZ8HGAEgASoCCAEqBwgCFQAA8D0qBwgDFQAAYj8=,1740061511.759077,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQv+7LgP2DuZ8HGAEgASoCCAEqBwgCFQAA8D0qBwgDFQAAYj8=,1740061511.759647,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-75,0,60,CAEQmsurwO66g5UBGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1740061512.73551,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-69,0,131,CAEQmsurwO66g5UBGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1740061512.73708,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-76,0,16,CAEQmsurwO66g5UBGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1740061512.738392,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-67,0,1,CAEQmsurwO66g5UBGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1740061512.740285,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQmsurwO66g5UBGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1740061512.759267,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQmsurwO66g5UBGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1740061512.760351,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQmsurwO66g5UBGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1740061512.761016,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-74,0,61,CAEQmMLNhPuW66l9GAEgASoCCAEqBwgCFQAAVD8qBwgDFQAAMD4=,1740061513.736836,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-66,0,2,CAEQmMLNhPuW66l9GAEgASoCCAEqBwgCFQAAVD8qBwgDFQAAMD4=,1740061513.737124,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-79,0,17,CAEQmMLNhPuW66l9GAEgASoCCAEqBwgCFQAAVD8qBwgDFQAAMD4=,1740061513.737883,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-73,0,132,CAEQmMLNhPuW66l9GAEgASoCCAEqBwgCFQAAVD8qBwgDFQAAMD4=,1740061513.739691,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQmMLNhPuW66l9GAEgASoCCAEqBwgCFQAAVD8qBwgDFQAAMD4=,1740061513.759435,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQmMLNhPuW66l9GAEgASoCCAEqBwgCFQAAVD8qBwgDFQAAMD4=,1740061513.760572,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQmMLNhPuW66l9GAEgASoCCAEqBwgCFQAAVD8qBwgDFQAAMD4=,1740061513.761132,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-85,0,62,CAEQqLCTmO7wucllGAEgASoCCAEqBwgCFQAAez8qBwgDFQAAoDw=,1740061514.738948,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-62,0,3,CAEQqLCTmO7wucllGAEgASoCCAEqBwgCFQAAez8qBwgDFQAAoDw=,1740061514.739244,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-77,0,133,CAEQqLCTmO7wucllGAEgASoCCAEqBwgCFQAAez8qBwgDFQAAoDw=,1740061514.739763,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
