tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-69,0,178,CAEQvoDtqryoprTjARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1740061820.745438,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-76,0,59,CAEQvoDtqryoprTjARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1740061820.746521,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-78,0,100,CAEQvoDtqryoprTjARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1740061820.74728,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-73,0,49,CAEQvoDtqryoprTjARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1740061820.747742,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQvoDtqryoprTjARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1740061820.762474,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQvoDtqryoprTjARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1740061820.764816,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQvoDtqryoprTjARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1740061820.773875,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-80,0,60,CAEQ9fWX/Zn2zIDJARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740061821.744639,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-69,0,179,CAEQ9fWX/Zn2zIDJARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740061821.745733,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-73,0,50,CAEQ9fWX/Zn2zIDJARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740061821.752366,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ9fWX/Zn2zIDJARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740061821.766497,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ9fWX/Zn2zIDJARgBIAEqAggBKgcIAhUAAF4/KgcIAxUAAAg+,1740061821.767187,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
