tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-67,0,161,CAEQr5Pg7P/tsonmARgDIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1741370238.690004,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-78,0,124,CAEQr5Pg7P/tsonmARgDIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1741370238.691584,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-82,0,191,CAEQr5Pg7P/tsonmARgDIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1741370238.693213,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-84,0,171,CAEQr5Pg7P/tsonmARgDIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1741370238.700053,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQr5Pg7P/tsonmARgDIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1741370238.701245,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQr5Pg7P/tsonmARgDIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1741370238.703448,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQr5Pg7P/tsonmARgDIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1741370238.709729,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-69,0,125,CAEQttm6g/Kq+bxuGAEgASoHCAEVAACAOyoHCAIVAABlPyoHCAMVAADQPQ==,1741370239.06244,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-59,0,162,CAEQttm6g/Kq+bxuGAEgASoHCAEVAACAOyoHCAIVAABlPyoHCAMVAADQPQ==,1741370239.062945,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-69,0,172,CAEQttm6g/Kq+bxuGAEgASoHCAEVAACAOyoHCAIVAABlPyoHCAMVAADQPQ==,1741370239.06449,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-69,0,192,CAEQttm6g/Kq+bxuGAEgASoHCAEVAACAOyoHCAIVAABlPyoHCAMVAADQPQ==,1741370239.064964,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQttm6g/Kq+bxuGAEgASoHCAEVAACAOyoHCAIVAABlPyoHCAMVAADQPQ==,1741370239.084114,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQttm6g/Kq+bxuGAEgASoHCAEVAACAOyoHCAIVAABlPyoHCAMVAADQPQ==,1741370239.085725,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQttm6g/Kq+bxuGAEgASoHCAEVAACAOyoHCAIVAABlPyoHCAMVAADQPQ==,1741370239.086717,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-81,0,126,CAEQh4SB8OOF3aKkARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741370239.198467,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-87,0,193,CAEQh4SB8OOF3aKkARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741370239.198932,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-68,0,163,CAEQh4SB8OOF3aKkARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741370239.199704,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-84,0,173,CAEQh4SB8OOF3aKkARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741370239.200171,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
0,-200,0,0,CAEQh4SB8OOF3aKkARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741370239.216698,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQh4SB8OOF3aKkARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741370239.219819,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
127,-67,0,164,CAEQ69qL/7u9muk3GAUgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741370239.515111,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-88,0,174,CAEQ69qL/7u9muk3GAUgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741370239.515653,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-83,0,127,CAEQ69qL/7u9muk3GAUgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741370239.51602,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-89,0,194,CAEQ69qL/7u9muk3GAUgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741370239.517204,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ69qL/7u9muk3GAUgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741370239.534321,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ69qL/7u9muk3GAUgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741370239.536736,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ69qL/7u9muk3GAUgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741370239.537131,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
127,-60,0,165,CAEQpoXEu5ao3qV7GAMgASoCCAEqBwgCFQAAgDwqBwgDFQAAfD8=,1741370239.686151,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-88,0,128,CAEQpoXEu5ao3qV7GAMgASoCCAEqBwgCFQAAgDwqBwgDFQAAfD8=,1741370239.68767,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-86,0,175,CAEQpoXEu5ao3qV7GAMgASoCCAEqBwgCFQAAgDwqBwgDFQAAfD8=,1741370239.694103,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQpoXEu5ao3qV7GAMgASoCCAEqBwgCFQAAgDwqBwgDFQAAfD8=,1741370239.704352,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQpoXEu5ao3qV7GAMgASoCCAEqBwgCFQAAgDwqBwgDFQAAfD8=,1741370239.707236,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQpoXEu5ao3qV7GAMgASoCCAEqBwgCFQAAgDwqBwgDFQAAfD8=,1741370239.710537,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-85,0,195,CAEQ6I+i5IC51p6bARgBIAEqAggBKgcIAhUAAHw/KgcIAxUAAIA8,1741370240.059912,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-53,0,166,CAEQ6I+i5IC51p6bARgBIAEqAggBKgcIAhUAAHw/KgcIAxUAAIA8,1741370240.06192,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-78,0,129,CAEQ6I+i5IC51p6bARgBIAEqAggBKgcIAhUAAHw/KgcIAxUAAIA8,1741370240.066296,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-80,0,176,CAEQ6I+i5IC51p6bARgBIAEqAggBKgcIAhUAAHw/KgcIAxUAAIA8,1741370240.067349,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ6I+i5IC51p6bARgBIAEqAggBKgcIAhUAAHw/KgcIAxUAAIA8,1741370240.08509,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ6I+i5IC51p6bARgBIAEqAggBKgcIAhUAAHw/KgcIAxUAAIA8,1741370240.08527,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ6I+i5IC51p6bARgBIAEqAggBKgcIAhUAAHw/KgcIAxUAAIA8,1741370240.088049,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-92,0,196,CAEQ9vWKgqjl99UdGAIgASoCCAEqBwgCFQAAbD4qBwgDFQAART8=,1741370240.198594,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-81,0,167,CAEQ9vWKgqjl99UdGAIgASoCCAEqBwgCFQAAbD4qBwgDFQAART8=,1741370240.204034,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-84,0,177,CAEQ9vWKgqjl99UdGAIgASoCCAEqBwgCFQAAbD4qBwgDFQAART8=,1741370240.204185,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-78,0,130,CAEQ9vWKgqjl99UdGAIgASoCCAEqBwgCFQAAbD4qBwgDFQAART8=,1741370240.2048,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ9vWKgqjl99UdGAIgASoCCAEqBwgCFQAAbD4qBwgDFQAART8=,1741370240.219538,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ9vWKgqjl99UdGAIgASoCCAEqBwgCFQAAbD4qBwgDFQAART8=,1741370240.220867,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ9vWKgqjl99UdGAIgASoCCAEqBwgCFQAAbD4qBwgDFQAART8=,1741370240.223508,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
127,-77,0,168,CAEQmsXLzrKIl8vlARgFIAEqAggBKgcIAhUAAAA8KgcIAxUAAH4/,1741370240.51292,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-93,0,178,CAEQmsXLzrKIl8vlARgFIAEqAggBKgcIAhUAAAA8KgcIAxUAAH4/,1741370240.515503,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-94,0,197,CAEQmsXLzrKIl8vlARgFIAEqAggBKgcIAhUAAAA8KgcIAxUAAH4/,1741370240.515936,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
127,-82,0,131,CAEQmsXLzrKIl8vlARgFIAEqAggBKgcIAhUAAAA8KgcIAxUAAH4/,1741370240.517975,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
0,-200,0,0,CAEQmsXLzrKIl8vlARgFIAEqAggBKgcIAhUAAAA8KgcIAxUAAH4/,1741370240.532623,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
