tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
0,-200,0,0,CAEQueq0i8LQx4qvARgBIAEqAggBKgcIAhUAAHA/KgcIAxUAAIA9,1740403706.146529,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-70,0,128,CAEQsrzu4K3S75wfGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740403707.06887,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-83,0,227,CAEQsrzu4K3S75wfGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740403707.069734,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-83,0,121,CAEQsrzu4K3S75wfGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740403707.070255,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-57,0,26,CAEQsrzu4K3S75wfGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740403707.077002,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQsrzu4K3S75wfGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740403707.08684,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQsrzu4K3S75wfGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740403707.091654,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQsrzu4K3S75wfGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740403707.093538,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-69,0,129,CAEQ25HE4/GDp8SCARgBIAEqAggBKgcIAhUAAPA9KgcIAxUAAGI/,1740403708.069004,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-73,0,122,CAEQ25HE4/GDp8SCARgBIAEqAggBKgcIAhUAAPA9KgcIAxUAAGI/,1740403708.074758,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-57,0,27,CAEQ25HE4/GDp8SCARgBIAEqAggBKgcIAhUAAPA9KgcIAxUAAGI/,1740403708.075241,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-71,0,228,CAEQ25HE4/GDp8SCARgBIAEqAggBKgcIAhUAAPA9KgcIAxUAAGI/,1740403708.07732,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ25HE4/GDp8SCARgBIAEqAggBKgcIAhUAAPA9KgcIAxUAAGI/,1740403708.092754,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ25HE4/GDp8SCARgBIAEqAggBKgcIAhUAAPA9KgcIAxUAAGI/,1740403708.096949,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ25HE4/GDp8SCARgBIAEqAggBKgcIAhUAAPA9KgcIAxUAAGI/,1740403708.122342,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-66,0,28,CAEQx5bux5fv9rhuGAEgASoCCAEqBwgCFQAAJD8qBwgDFQAAuD4=,1740403709.069107,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-65,0,130,CAEQx5bux5fv9rhuGAEgASoCCAEqBwgCFQAAJD8qBwgDFQAAuD4=,1740403709.070245,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-72,0,123,CAEQx5bux5fv9rhuGAEgASoCCAEqBwgCFQAAJD8qBwgDFQAAuD4=,1740403709.072461,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-73,0,229,CAEQx5bux5fv9rhuGAEgASoCCAEqBwgCFQAAJD8qBwgDFQAAuD4=,1740403709.072915,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQx5bux5fv9rhuGAEgASoCCAEqBwgCFQAAJD8qBwgDFQAAuD4=,1740403709.091485,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQx5bux5fv9rhuGAEgASoCCAEqBwgCFQAAJD8qBwgDFQAAuD4=,1740403709.092114,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
