tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-90,0,9,CAEQz7j0j6GBttsCGAMgASoCCAEqBwgCFQAAKz8qBwgDFQAAqj4=,1741366376.605339,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-85,0,8,CAEQz7j0j6GBttsCGAMgASoCCAEqBwgCFQAAKz8qBwgDFQAAqj4=,1741366376.605679,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-65,0,141,CAEQz7j0j6GBttsCGAMgASoCCAEqBwgCFQAAKz8qBwgDFQAAqj4=,1741366376.606152,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQz7j0j6GBttsCGAMgASoCCAEqBwgCFQAAKz8qBwgDFQAAqj4=,1741366376.622974,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQz7j0j6GBttsCGAMgASoCCAEqBwgCFQAAKz8qBwgDFQAAqj4=,1741366376.627164,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQz7j0j6GBttsCGAMgASoCCAEqBwgCFQAAKz8qBwgDFQAAqj4=,1741366376.629931,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
127,-75,0,20,CAEQjL7TmOf91YhdGAEgASoCCAEqBwgCFQAAZT8qBwgDFQAA2D0=,1741366376.964655,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-76,0,9,CAEQjL7TmOf91YhdGAEgASoCCAEqBwgCFQAAZT8qBwgDFQAA2D0=,1741366376.964786,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-65,0,142,CAEQjL7TmOf91YhdGAEgASoCCAEqBwgCFQAAZT8qBwgDFQAA2D0=,1741366376.965465,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-69,0,10,CAEQjL7TmOf91YhdGAEgASoCCAEqBwgCFQAAZT8qBwgDFQAA2D0=,1741366376.966017,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
