tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-81,0,125,CAEQ6LrO1vnDkcJ0GAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740407336.163563,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-65,0,225,CAEQ6LrO1vnDkcJ0GAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740407336.163872,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-82,0,103,CAEQ6LrO1vnDkcJ0GAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740407336.166241,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-71,0,216,CAEQ6LrO1vnDkcJ0GAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740407336.167397,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ6LrO1vnDkcJ0GAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740407336.187527,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ6LrO1vnDkcJ0GAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740407336.18877,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ6LrO1vnDkcJ0GAEgASoCCAEqBwgCFQAAcj8qBwgDFQAAYD0=,1740407336.193521,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-69,0,217,CAEQtfHxwaeljvQlGAEgASoCCAEqBwgCFQAAfD8qBwgDFQAAgDw=,1740407337.163183,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-70,0,226,CAEQtfHxwaeljvQlGAEgASoCCAEqBwgCFQAAfD8qBwgDFQAAgDw=,1740407337.163394,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-70,0,104,CAEQtfHxwaeljvQlGAEgASoCCAEqBwgCFQAAfD8qBwgDFQAAgDw=,1740407337.168712,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-72,0,126,CAEQtfHxwaeljvQlGAEgASoCCAEqBwgCFQAAfD8qBwgDFQAAgDw=,1740407337.17374,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQtfHxwaeljvQlGAEgASoCCAEqBwgCFQAAfD8qBwgDFQAAgDw=,1740407337.187342,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQtfHxwaeljvQlGAEgASoCCAEqBwgCFQAAfD8qBwgDFQAAgDw=,1740407337.199306,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQtfHxwaeljvQlGAEgASoCCAEqBwgCFQAAfD8qBwgDFQAAgDw=,1740407337.200892,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-63,0,227,CAEQ0uK778ulmOegARgBIAEqAggBKgcIAhUAABI/KgcIAxUAANw+,1740407338.163523,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-81,0,127,CAEQ0uK778ulmOegARgBIAEqAggBKgcIAhUAABI/KgcIAxUAANw+,1740407338.164181,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-72,0,218,CAEQ0uK778ulmOegARgBIAEqAggBKgcIAhUAABI/KgcIAxUAANw+,1740407338.167529,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-81,0,105,CAEQ0uK778ulmOegARgBIAEqAggBKgcIAhUAABI/KgcIAxUAANw+,1740407338.169985,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ0uK778ulmOegARgBIAEqAggBKgcIAhUAABI/KgcIAxUAANw+,1740407338.184688,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ0uK778ulmOegARgBIAEqAggBKgcIAhUAABI/KgcIAxUAANw+,1740407338.186685,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ0uK778ulmOegARgBIAEqAggBKgcIAhUAABI/KgcIAxUAANw+,1740407338.189573,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-70,0,219,CAEQudGa2fuhtqhQGAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1740407339.169673,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-72,0,228,CAEQudGa2fuhtqhQGAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1740407339.172299,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-72,0,106,CAEQudGa2fuhtqhQGAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1740407339.172852,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-75,0,128,CAEQudGa2fuhtqhQGAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1740407339.174834,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQudGa2fuhtqhQGAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1740407339.181825,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQudGa2fuhtqhQGAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1740407339.184573,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQudGa2fuhtqhQGAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1740407339.190426,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-72,0,107,CAEQy5fP25Gp+uC2ARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1740407340.165508,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-66,0,129,CAEQy5fP25Gp+uC2ARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1740407340.166597,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-60,0,229,CAEQy5fP25Gp+uC2ARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1740407340.169909,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-73,0,220,CAEQy5fP25Gp+uC2ARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1740407340.172156,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQy5fP25Gp+uC2ARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1740407340.186762,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQy5fP25Gp+uC2ARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1740407340.188362,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQy5fP25Gp+uC2ARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1740407340.194225,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-63,0,230,CAEQw5qd75vBtsibARgBIAEqAggBKgcIAhUAAHA/KgcIAxUAAIA9,1740407341.16538,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-84,0,108,CAEQw5qd75vBtsibARgBIAEqAggBKgcIAhUAAHA/KgcIAxUAAIA9,1740407341.165583,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-80,0,221,CAEQw5qd75vBtsibARgBIAEqAggBKgcIAhUAAHA/KgcIAxUAAIA9,1740407341.166958,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-83,0,130,CAEQw5qd75vBtsibARgBIAEqAggBKgcIAhUAAHA/KgcIAxUAAIA9,1740407341.173918,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQw5qd75vBtsibARgBIAEqAggBKgcIAhUAAHA/KgcIAxUAAIA9,1740407341.184986,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQw5qd75vBtsibARgBIAEqAggBKgcIAhUAAHA/KgcIAxUAAIA9,1740407341.186116,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQw5qd75vBtsibARgBIAEqAggBKgcIAhUAAHA/KgcIAxUAAIA9,1740407341.18727,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-63,0,231,CAEQr9nkqLLvie5JGAEgASoHCAEVAAAAPSoHCAIVAACSPioHCAMVAAAuPw==,1740407342.163316,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-78,0,109,CAEQr9nkqLLvie5JGAEgASoHCAEVAAAAPSoHCAIVAACSPioHCAMVAAAuPw==,1740407342.163524,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-74,0,131,CAEQr9nkqLLvie5JGAEgASoHCAEVAAAAPSoHCAIVAACSPioHCAMVAAAuPw==,1740407342.169235,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-77,0,222,CAEQr9nkqLLvie5JGAEgASoHCAEVAAAAPSoHCAIVAACSPioHCAMVAAAuPw==,1740407342.169894,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQr9nkqLLvie5JGAEgASoHCAEVAAAAPSoHCAIVAACSPioHCAMVAAAuPw==,1740407342.185921,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQr9nkqLLvie5JGAEgASoHCAEVAAAAPSoHCAIVAACSPioHCAMVAAAuPw==,1740407342.188131,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQr9nkqLLvie5JGAEgASoHCAEVAAAAPSoHCAIVAACSPioHCAMVAAAuPw==,1740407342.193824,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-72,0,223,CAEQ1/usqNur64qUARgBIAEqBwgBFQAADD4qBwgCFQAAKD8qBwgDFQAAVD4=,1740407343.163329,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-59,0,232,CAEQ1/usqNur64qUARgBIAEqBwgBFQAADD4qBwgCFQAAKD8qBwgDFQAAVD4=,1740407343.163741,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-74,0,110,CAEQ1/usqNur64qUARgBIAEqBwgBFQAADD4qBwgCFQAAKD8qBwgDFQAAVD4=,1740407343.164282,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
