tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-81,0,196,CAEQ0NHqr8601e0sGAMgASoCCAEqBwgCFQAA6D0qBwgDFQAAYz8=,1741368444.648748,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-79,0,46,CAEQ0NHqr8601e0sGAMgASoCCAEqBwgCFQAA6D0qBwgDFQAAYz8=,1741368444.650357,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-82,0,114,CAEQ0NHqr8601e0sGAMgASoCCAEqBwgCFQAA6D0qBwgDFQAAYz8=,1741368444.653018,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-76,0,146,CAEQ0NHqr8601e0sGAMgASoCCAEqBwgCFQAA6D0qBwgDFQAAYz8=,1741368444.65428,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ0NHqr8601e0sGAMgASoCCAEqBwgCFQAA6D0qBwgDFQAAYz8=,1741368444.66889,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ0NHqr8601e0sGAMgASoCCAEqBwgCFQAA6D0qBwgDFQAAYz8=,1741368444.672197,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0NHqr8601e0sGAMgASoCCAEqBwgCFQAA6D0qBwgDFQAAYz8=,1741368444.673279,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-74,0,47,CAEQs/Tgg+2ygc6LARgBIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1741368445.017356,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-73,0,197,CAEQs/Tgg+2ygc6LARgBIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1741368445.020231,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-75,0,115,CAEQs/Tgg+2ygc6LARgBIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1741368445.021696,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
