tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-84,0,39,CAEQlMjBqtnM8/EFGAEgASoCCAEqBwgCFQAAMD4qBwgDFQAAVD8=,1740403103.055831,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-73,0,198,CAEQlMjBqtnM8/EFGAEgASoCCAEqBwgCFQAAMD4qBwgDFQAAVD8=,1740403103.056261,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-75,0,50,CAEQlMjBqtnM8/EFGAEgASoCCAEqBwgCFQAAMD4qBwgDFQAAVD8=,1740403103.056538,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-69,0,142,CAEQlMjBqtnM8/EFGAEgASoCCAEqBwgCFQAAMD4qBwgDFQAAVD8=,1740403103.057792,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQlMjBqtnM8/EFGAEgASoCCAEqBwgCFQAAMD4qBwgDFQAAVD8=,1740403103.071337,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQlMjBqtnM8/EFGAEgASoCCAEqBwgCFQAAMD4qBwgDFQAAVD8=,1740403103.074934,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQlMjBqtnM8/EFGAEgASoCCAEqBwgCFQAAMD4qBwgDFQAAVD8=,1740403103.086247,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-68,0,40,CAEQ/8ydlK/D06taGAEgASoCCAEqBwgCFQAAeD4qBwgDFQAAQj8=,1740403104.053778,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-77,0,199,CAEQ/8ydlK/D06taGAEgASoCCAEqBwgCFQAAeD4qBwgDFQAAQj8=,1740403104.054664,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-77,0,51,CAEQ/8ydlK/D06taGAEgASoCCAEqBwgCFQAAeD4qBwgDFQAAQj8=,1740403104.056155,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-58,0,143,CAEQ/8ydlK/D06taGAEgASoCCAEqBwgCFQAAeD4qBwgDFQAAQj8=,1740403104.056575,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ/8ydlK/D06taGAEgASoCCAEqBwgCFQAAeD4qBwgDFQAAQj8=,1740403104.071428,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ/8ydlK/D06taGAEgASoCCAEqBwgCFQAAeD4qBwgDFQAAQj8=,1740403104.076767,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ/8ydlK/D06taGAEgASoCCAEqBwgCFQAAeD4qBwgDFQAAQj8=,1740403104.082106,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-76,0,41,CAEQ3NKrz+PG4e3OARgBIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1740403105.053952,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
