tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-62,0,27,CAEQ3a+Yhvzgw/hCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743688966.80312,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-79,0,119,CAEQ3a+Yhvzgw/hCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743688966.803347,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ3a+Yhvzgw/hCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743688966.821516,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ3a+Yhvzgw/hCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743688966.822523,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ3a+Yhvzgw/hCGAUgASoHCAEVAAB/PyoCCAIqAggD,1743688966.824196,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-55,0,28,CAEQw+fDuLqPjIrWARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1743688967.097215,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-68,0,120,CAEQw+fDuLqPjIrWARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1743688967.097497,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-91,0,121,CAEQzPKWl9uEjozdARgDIAEqAggBKgcIAhUAAEU/KgcIAxUAAGw+,1743688967.319614,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-73,0,29,CAEQzPKWl9uEjozdARgDIAEqAggBKgcIAhUAAEU/KgcIAxUAAGw+,1743688967.3205,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-87,0,78,CAEQzPKWl9uEjozdARgDIAEqAggBKgcIAhUAAEU/KgcIAxUAAGw+,1743688967.324899,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQzPKWl9uEjozdARgDIAEqAggBKgcIAhUAAEU/KgcIAxUAAGw+,1743688967.3323,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
