tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-57,0,253,CAEQ/PvPttutlIw4GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739894408.195729,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-63,0,8,CAEQ/PvPttutlIw4GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739894408.196792,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-70,0,12,CAEQ/PvPttutlIw4GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739894408.197163,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-76,0,20,CAEQ/PvPttutlIw4GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739894408.197726,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ/PvPttutlIw4GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739894408.218489,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ/PvPttutlIw4GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739894408.219317,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ/PvPttutlIw4GAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739894408.222316,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-49,0,254,CAEQw/Dx363n68iyARgBIAEqBwgBFQAAaz8qAggCKgcIAxUAAKg9,1739894409.200315,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,13,CAEQw/Dx363n68iyARgBIAEqBwgBFQAAaz8qAggCKgcIAxUAAKg9,1739894409.200521,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-74,0,9,CAEQw/Dx363n68iyARgBIAEqBwgBFQAAaz8qAggCKgcIAxUAAKg9,1739894409.202622,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-81,0,21,CAEQw/Dx363n68iyARgBIAEqBwgBFQAAaz8qAggCKgcIAxUAAKg9,1739894409.205869,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQw/Dx363n68iyARgBIAEqBwgBFQAAaz8qAggCKgcIAxUAAKg9,1739894409.213548,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQw/Dx363n68iyARgBIAEqBwgBFQAAaz8qAggCKgcIAxUAAKg9,1739894409.217083,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQw/Dx363n68iyARgBIAEqBwgBFQAAaz8qAggCKgcIAxUAAKg9,1739894409.21814,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-74,0,14,CAEQqomkr9+MjpMsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894410.19214,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-53,0,255,CAEQqomkr9+MjpMsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894410.195366,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-84,0,10,CAEQqomkr9+MjpMsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894410.195557,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-78,0,22,CAEQqomkr9+MjpMsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894410.19679,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQqomkr9+MjpMsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894410.211194,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQqomkr9+MjpMsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894410.21436,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQqomkr9+MjpMsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894410.224285,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-63,0,11,CAEQjsaKnZuUoJquARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894411.195259,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-52,0,0,CAEQjsaKnZuUoJquARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894411.195409,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-73,0,23,CAEQjsaKnZuUoJquARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894411.195841,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-68,0,15,CAEQjsaKnZuUoJquARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894411.197102,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQjsaKnZuUoJquARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894411.216631,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-74,0,24,CAEQ0/SZ7ov0o4FtGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894412.195512,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-64,0,12,CAEQ0/SZ7ov0o4FtGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894412.200661,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-51,0,1,CAEQ0/SZ7ov0o4FtGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894412.203327,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-67,0,16,CAEQ0/SZ7ov0o4FtGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894412.204848,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ0/SZ7ov0o4FtGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894412.215496,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0/SZ7ov0o4FtGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894412.215706,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ0/SZ7ov0o4FtGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894412.217294,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-69,0,13,CAEQ0+HKhILu4coYGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894413.195587,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-54,0,2,CAEQ0+HKhILu4coYGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894413.196474,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,25,CAEQ0+HKhILu4coYGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894413.197441,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-76,0,17,CAEQ0+HKhILu4coYGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894413.198863,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-80,0,26,CAEQwpnrvobb4LopGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894414.195838,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,18,CAEQwpnrvobb4LopGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894414.195974,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-50,0,3,CAEQwpnrvobb4LopGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894414.196523,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-85,0,14,CAEQwpnrvobb4LopGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894414.200475,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQwpnrvobb4LopGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894414.216358,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQwpnrvobb4LopGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894414.218184,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQwpnrvobb4LopGAEgASoHCAEVAAB/PyoCCAIqAggD,1739894414.218636,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-71,0,19,CAEQyJOi9JbOpqXlARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894415.19612,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-49,0,4,CAEQyJOi9JbOpqXlARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894415.196391,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-74,0,15,CAEQyJOi9JbOpqXlARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894415.196998,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQyJOi9JbOpqXlARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894415.21546,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQyJOi9JbOpqXlARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894415.215982,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQyJOi9JbOpqXlARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894415.216356,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-69,0,20,CAEQ59+QpYSQiM3jARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894416.195676,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-88,0,27,CAEQ59+QpYSQiM3jARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894416.196241,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,16,CAEQ59+QpYSQiM3jARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894416.196843,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-49,0,5,CAEQ59+QpYSQiM3jARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894416.197199,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ59+QpYSQiM3jARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739894416.213537,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
