tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-70,0,46,CAEQp6HoiMGR6/VhGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884543.044034,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-77,0,46,CAEQp6HoiMGR6/VhGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884543.045089,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-73,0,43,CAEQp6HoiMGR6/VhGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884543.045272,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQp6HoiMGR6/VhGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884543.066394,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQp6HoiMGR6/VhGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884543.066829,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQp6HoiMGR6/VhGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884543.06711,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-75,0,47,CAEQ5uHR/cqbtfgiGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884544.044168,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-81,0,47,CAEQ5uHR/cqbtfgiGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884544.044351,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-80,0,47,CAEQ5uHR/cqbtfgiGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884544.045629,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-72,0,44,CAEQ5uHR/cqbtfgiGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884544.046108,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ5uHR/cqbtfgiGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884544.067357,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ5uHR/cqbtfgiGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884544.067885,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ5uHR/cqbtfgiGAEgASoHCAEVAAB/PyoCCAIqAggD,1739884544.069158,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-68,0,48,CAEQ647UjfPx1K21ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884545.048618,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-71,0,45,CAEQ647UjfPx1K21ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884545.048821,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-69,0,48,CAEQ647UjfPx1K21ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884545.04946,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-70,0,48,CAEQ647UjfPx1K21ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884545.049845,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ647UjfPx1K21ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884545.065426,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ647UjfPx1K21ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884545.065648,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ647UjfPx1K21ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884545.06701,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-80,0,49,CAEQlqaw3I75t/2vARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884546.044246,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-77,0,46,CAEQlqaw3I75t/2vARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884546.044429,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-88,0,49,CAEQlqaw3I75t/2vARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884546.045321,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-74,0,49,CAEQlqaw3I75t/2vARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884546.04557,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQlqaw3I75t/2vARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884546.064211,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQlqaw3I75t/2vARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884546.066648,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQlqaw3I75t/2vARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884546.066872,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-74,0,50,CAEQh5CTm8+V6MnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884547.044274,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-78,0,47,CAEQh5CTm8+V6MnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884547.045074,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-86,0,50,CAEQh5CTm8+V6MnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884547.045559,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-79,0,50,CAEQh5CTm8+V6MnzARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739884547.047196,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
