tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-60,0,12,CAEQz8/94rXTl6TWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885679.877705,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-64,0,12,CAEQz8/94rXTl6TWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885679.878919,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-73,0,12,CAEQz8/94rXTl6TWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885679.879275,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,11,CAEQz8/94rXTl6TWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885679.879521,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQz8/94rXTl6TWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885679.901242,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQz8/94rXTl6TWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885679.902919,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQz8/94rXTl6TWARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885679.907321,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-61,0,13,CAEQ+Ib7uNXD6YqbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885680.883178,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-69,0,12,CAEQ+Ib7uNXD6YqbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885680.883353,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-64,0,13,CAEQ+Ib7uNXD6YqbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885680.883905,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-73,0,13,CAEQ+Ib7uNXD6YqbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885680.885428,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ+Ib7uNXD6YqbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885680.90376,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ+Ib7uNXD6YqbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885680.904404,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ+Ib7uNXD6YqbARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885680.910648,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-68,0,13,CAEQ86XBwZzQzKhNGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739885681.88477,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,14,CAEQ86XBwZzQzKhNGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739885681.884942,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-76,0,14,CAEQ86XBwZzQzKhNGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739885681.886137,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-68,0,14,CAEQ86XBwZzQzKhNGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739885681.886775,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ86XBwZzQzKhNGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739885681.905389,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-60,0,15,CAEQp/XZ6Lz6ten3ARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1739885682.879401,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-70,0,14,CAEQp/XZ6Lz6ten3ARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1739885682.879576,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-73,0,15,CAEQp/XZ6Lz6ten3ARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1739885682.882358,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-65,0,15,CAEQp/XZ6Lz6ten3ARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1739885682.884149,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQp/XZ6Lz6ten3ARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1739885682.901317,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQp/XZ6Lz6ten3ARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1739885682.904819,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQp/XZ6Lz6ten3ARgBIAEqBwgBFQAAdD8qAggCKgcIAxUAAEA9,1739885682.914084,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-79,0,16,CAEQ3Nbki++TntXfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885683.882374,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-66,0,16,CAEQ3Nbki++TntXfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885683.88258,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-76,0,16,CAEQ3Nbki++TntXfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885683.884886,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-74,0,15,CAEQ3Nbki++TntXfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739885683.885135,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
