tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-75,0,38,CAEQup3UgbnFlPhoGAEgASoHCAEVAAB3PyoCCAIqBwgDFQAAED0=,1739888706.030191,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-77,0,38,CAEQup3UgbnFlPhoGAEgASoHCAEVAAB3PyoCCAIqBwgDFQAAED0=,1739888706.03129,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-67,0,37,CAEQup3UgbnFlPhoGAEgASoHCAEVAAB3PyoCCAIqBwgDFQAAED0=,1739888706.031723,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-58,0,39,CAEQup3UgbnFlPhoGAEgASoHCAEVAAB3PyoCCAIqBwgDFQAAED0=,1739888706.034551,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQup3UgbnFlPhoGAEgASoHCAEVAAB3PyoCCAIqBwgDFQAAED0=,1739888706.048356,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQup3UgbnFlPhoGAEgASoHCAEVAAB3PyoCCAIqBwgDFQAAED0=,1739888706.051343,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQup3UgbnFlPhoGAEgASoHCAEVAAB3PyoCCAIqBwgDFQAAED0=,1739888706.053823,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-57,0,40,CAEQoLWEss3U5IeXARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888707.02864,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-85,0,39,CAEQoLWEss3U5IeXARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888707.030144,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-80,0,39,CAEQoLWEss3U5IeXARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888707.030416,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-66,0,38,CAEQoLWEss3U5IeXARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888707.036125,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQoLWEss3U5IeXARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888707.049913,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQoLWEss3U5IeXARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888707.051135,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQoLWEss3U5IeXARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888707.053147,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-72,0,40,CAEQwdKZ88LPjp3RARgBIAEqBwgBFQAAej8qAggCKgcIAxUAAMA8,1739888708.029385,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-70,0,40,CAEQwdKZ88LPjp3RARgBIAEqBwgBFQAAej8qAggCKgcIAxUAAMA8,1739888708.029657,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-66,0,39,CAEQwdKZ88LPjp3RARgBIAEqBwgBFQAAej8qAggCKgcIAxUAAMA8,1739888708.032915,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-61,0,41,CAEQwdKZ88LPjp3RARgBIAEqBwgBFQAAej8qAggCKgcIAxUAAMA8,1739888708.033895,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQwdKZ88LPjp3RARgBIAEqBwgBFQAAej8qAggCKgcIAxUAAMA8,1739888708.052109,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQwdKZ88LPjp3RARgBIAEqBwgBFQAAej8qAggCKgcIAxUAAMA8,1739888708.052491,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQwdKZ88LPjp3RARgBIAEqBwgBFQAAej8qAggCKgcIAxUAAMA8,1739888708.05588,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-65,0,40,CAEQ5rDP77yMk5fNARgBIAEqBwgBFQAAbj8qAggCKgcIAxUAAJA9,1739888709.030287,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,41,CAEQ5rDP77yMk5fNARgBIAEqBwgBFQAAbj8qAggCKgcIAxUAAJA9,1739888709.030904,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-60,0,42,CAEQ5rDP77yMk5fNARgBIAEqBwgBFQAAbj8qAggCKgcIAxUAAJA9,1739888709.031217,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-86,0,41,CAEQ5rDP77yMk5fNARgBIAEqBwgBFQAAbj8qAggCKgcIAxUAAJA9,1739888709.03181,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ5rDP77yMk5fNARgBIAEqBwgBFQAAbj8qAggCKgcIAxUAAJA9,1739888709.051601,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ5rDP77yMk5fNARgBIAEqBwgBFQAAbj8qAggCKgcIAxUAAJA9,1739888709.053636,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ5rDP77yMk5fNARgBIAEqBwgBFQAAbj8qAggCKgcIAxUAAJA9,1739888709.055968,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-67,0,41,CAEQg/q25bi11qLEARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888710.026791,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,42,CAEQg/q25bi11qLEARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888710.032361,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-61,0,43,CAEQg/q25bi11qLEARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888710.034537,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-69,0,42,CAEQg/q25bi11qLEARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888710.036688,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQg/q25bi11qLEARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888710.050407,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQg/q25bi11qLEARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888710.051492,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQg/q25bi11qLEARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888710.051598,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-70,0,42,CAEQscbqiICm+sAaGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739888711.03002,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-74,0,43,CAEQscbqiICm+sAaGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739888711.030571,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,43,CAEQscbqiICm+sAaGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739888711.03136,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-62,0,44,CAEQscbqiICm+sAaGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739888711.032174,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQscbqiICm+sAaGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739888711.05165,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQscbqiICm+sAaGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739888711.051863,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQscbqiICm+sAaGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1739888711.052646,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-68,0,44,CAEQqOC0ubOXsbkxGAEgASoHCAEVAAB/PyoCCAIqAggD,1739888712.032535,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-59,0,45,CAEQqOC0ubOXsbkxGAEgASoHCAEVAAB/PyoCCAIqAggD,1739888712.032729,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-65,0,43,CAEQqOC0ubOXsbkxGAEgASoHCAEVAAB/PyoCCAIqAggD,1739888712.034175,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-85,0,44,CAEQqOC0ubOXsbkxGAEgASoHCAEVAAB/PyoCCAIqAggD,1739888712.037177,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQqOC0ubOXsbkxGAEgASoHCAEVAAB/PyoCCAIqAggD,1739888712.051257,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQqOC0ubOXsbkxGAEgASoHCAEVAAB/PyoCCAIqAggD,1739888712.05213,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQqOC0ubOXsbkxGAEgASoHCAEVAAB/PyoCCAIqAggD,1739888712.052414,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-62,0,46,CAEQytLQqYG92POkARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1739888713.030466,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-65,0,44,CAEQytLQqYG92POkARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1739888713.030737,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-74,0,45,CAEQytLQqYG92POkARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1739888713.031027,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-71,0,45,CAEQytLQqYG92POkARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1739888713.032268,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQytLQqYG92POkARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1739888713.053946,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQytLQqYG92POkARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1739888713.054098,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQytLQqYG92POkARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1739888713.056252,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-68,0,46,CAEQp+yEmp73952oARgBIAEqBwgBFQAAcT8qAggCKgcIAxUAAHA9,1739888714.036685,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-78,0,46,CAEQp+yEmp73952oARgBIAEqBwgBFQAAcT8qAggCKgcIAxUAAHA9,1739888714.036881,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-67,0,45,CAEQp+yEmp73952oARgBIAEqBwgBFQAAcT8qAggCKgcIAxUAAHA9,1739888714.036991,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-59,0,47,CAEQp+yEmp73952oARgBIAEqBwgBFQAAcT8qAggCKgcIAxUAAHA9,1739888714.037335,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQp+yEmp73952oARgBIAEqBwgBFQAAcT8qAggCKgcIAxUAAHA9,1739888714.046065,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQp+yEmp73952oARgBIAEqBwgBFQAAcT8qAggCKgcIAxUAAHA9,1739888714.052827,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQp+yEmp73952oARgBIAEqBwgBFQAAcT8qAggCKgcIAxUAAHA9,1739888714.057476,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-57,0,48,CAEQi8myrZ6WloQ9GAEgASoHCAEVAAB/PyoCCAIqAggD,1739888715.03105,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,46,CAEQi8myrZ6WloQ9GAEgASoHCAEVAAB/PyoCCAIqAggD,1739888715.03124,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-77,0,47,CAEQi8myrZ6WloQ9GAEgASoHCAEVAAB/PyoCCAIqAggD,1739888715.031349,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,47,CAEQi8myrZ6WloQ9GAEgASoHCAEVAAB/PyoCCAIqAggD,1739888715.031581,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQi8myrZ6WloQ9GAEgASoHCAEVAAB/PyoCCAIqAggD,1739888715.04759,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQi8myrZ6WloQ9GAEgASoHCAEVAAB/PyoCCAIqAggD,1739888715.050051,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQi8myrZ6WloQ9GAEgASoHCAEVAAB/PyoCCAIqAggD,1739888715.050862,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-78,0,48,CAEQttSh5Jew/e3JARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888716.030809,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-61,0,49,CAEQttSh5Jew/e3JARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888716.031412,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-67,0,47,CAEQttSh5Jew/e3JARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888716.031873,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,48,CAEQttSh5Jew/e3JARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888716.032751,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQttSh5Jew/e3JARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888716.048775,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQttSh5Jew/e3JARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739888716.052759,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
