tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-75,0,39,CAEQo+TZ3q7s+rKsARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890430.941088,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-76,0,39,CAEQo+TZ3q7s+rKsARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890430.94229,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-73,0,39,CAEQo+TZ3q7s+rKsARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890430.942483,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-55,0,39,CAEQo+TZ3q7s+rKsARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890430.943142,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQo+TZ3q7s+rKsARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890430.96022,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQo+TZ3q7s+rKsARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890430.961299,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQo+TZ3q7s+rKsARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890430.961919,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-95,0,40,CAEQh568taLip7irARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890431.936975,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,40,CAEQh568taLip7irARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890431.940172,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-53,0,40,CAEQh568taLip7irARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890431.94034,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,40,CAEQh568taLip7irARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890431.941408,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQh568taLip7irARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890431.961525,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQh568taLip7irARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890431.962017,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQh568taLip7irARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890431.963943,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-66,0,41,CAEQn9K2sPOw7YvyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890432.940167,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-79,0,41,CAEQn9K2sPOw7YvyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890432.941178,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,41,CAEQn9K2sPOw7YvyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890432.941665,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-57,0,41,CAEQn9K2sPOw7YvyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890432.942287,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQn9K2sPOw7YvyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890432.963548,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQn9K2sPOw7YvyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890432.965402,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQn9K2sPOw7YvyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739890432.965592,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-72,0,42,CAEQ9suy3s6To455GAEgASoHCAEVAAB/PyoCCAIqAggD,1739890433.939997,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-74,0,42,CAEQ9suy3s6To455GAEgASoHCAEVAAB/PyoCCAIqAggD,1739890433.9402,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-56,0,42,CAEQ9suy3s6To455GAEgASoHCAEVAAB/PyoCCAIqAggD,1739890433.941346,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-78,0,42,CAEQ9suy3s6To455GAEgASoHCAEVAAB/PyoCCAIqAggD,1739890433.941864,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ9suy3s6To455GAEgASoHCAEVAAB/PyoCCAIqAggD,1739890433.96017,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ9suy3s6To455GAEgASoHCAEVAAB/PyoCCAIqAggD,1739890433.961076,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ9suy3s6To455GAEgASoHCAEVAAB/PyoCCAIqAggD,1739890433.961918,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-54,0,43,CAEQrNWH1PudqfwsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739890434.940174,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,43,CAEQrNWH1PudqfwsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739890434.940345,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-67,0,43,CAEQrNWH1PudqfwsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739890434.941396,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-85,0,43,CAEQrNWH1PudqfwsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739890434.942409,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQrNWH1PudqfwsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739890434.959696,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQrNWH1PudqfwsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739890434.963608,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQrNWH1PudqfwsGAEgASoHCAEVAAB/PyoCCAIqAggD,1739890434.964408,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-68,0,44,CAEQlNWTnae5z8VuGAEgASoHCAEVAAB/PyoCCAIqAggD,1739890435.940001,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
