tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-72,0,159,CAEQiYutjYvxvusuGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739897175.263298,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-80,0,129,CAEQiYutjYvxvusuGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739897175.264446,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-77,0,165,CAEQiYutjYvxvusuGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739897175.265341,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-94,0,158,CAEQiYutjYvxvusuGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739897175.26565,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQiYutjYvxvusuGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739897175.286544,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQiYutjYvxvusuGAEgASoHCAEVAAB+PyoCCAIqBwgDFQAAADw=,1739897175.28789,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-81,0,130,CAEQ19jT6dXa/JJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1739897176.265525,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,166,CAEQ19jT6dXa/JJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1739897176.265758,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-72,0,159,CAEQ19jT6dXa/JJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1739897176.266602,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-65,0,160,CAEQ19jT6dXa/JJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1739897176.266912,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ19jT6dXa/JJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1739897176.285843,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ19jT6dXa/JJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1739897176.286466,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ19jT6dXa/JJZGAEgASoHCAEVAAB/PyoCCAIqAggD,1739897176.288002,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-78,0,160,CAEQvILu9vWJyftcGAEgASoHCAEVAAC6PioCCAIqBwgDFQAAIz8=,1739897177.26612,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-70,0,161,CAEQvILu9vWJyftcGAEgASoHCAEVAAC6PioCCAIqBwgDFQAAIz8=,1739897177.266344,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-72,0,167,CAEQvILu9vWJyftcGAEgASoHCAEVAAC6PioCCAIqBwgDFQAAIz8=,1739897177.266992,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
