tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-80,0,33,CAEQg+rjspmZp/RNGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974012.153463,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-83,0,36,CAEQg+rjspmZp/RNGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974012.156288,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-62,0,213,CAEQg+rjspmZp/RNGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974012.156617,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-69,0,84,CAEQg+rjspmZp/RNGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974012.158388,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQg+rjspmZp/RNGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974012.176728,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQg+rjspmZp/RNGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974012.178843,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQg+rjspmZp/RNGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974012.179092,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-68,0,214,CAEQxYektJus/pj2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974013.156645,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-82,0,34,CAEQxYektJus/pj2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974013.157253,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-84,0,37,CAEQxYektJus/pj2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974013.160104,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-67,0,85,CAEQxYektJus/pj2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974013.161028,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQxYektJus/pj2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974013.175955,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQxYektJus/pj2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974013.178753,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQxYektJus/pj2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974013.188007,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-73,0,35,CAEQ86z6/qOLnKFHGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974014.156673,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-85,0,38,CAEQ86z6/qOLnKFHGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974014.156901,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,86,CAEQ86z6/qOLnKFHGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974014.15722,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-61,0,215,CAEQ86z6/qOLnKFHGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974014.158549,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ86z6/qOLnKFHGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974014.175807,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ86z6/qOLnKFHGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974014.178737,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ86z6/qOLnKFHGAEgASoHCAEVAAB/PyoCCAIqAggD,1739974014.186706,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-70,0,216,CAEQgdmV8pvLjeLnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974015.156643,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-83,0,39,CAEQgdmV8pvLjeLnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974015.156817,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,87,CAEQgdmV8pvLjeLnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974015.157289,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-84,0,36,CAEQgdmV8pvLjeLnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974015.157801,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQgdmV8pvLjeLnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974015.178308,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQgdmV8pvLjeLnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974015.178545,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQgdmV8pvLjeLnARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974015.179654,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
127,-70,0,88,CAEQ5bqTz4+sn8a1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974016.156504,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-84,0,40,CAEQ5bqTz4+sn8a1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974016.156678,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-76,0,217,CAEQ5bqTz4+sn8a1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974016.157025,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-82,0,37,CAEQ5bqTz4+sn8a1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974016.158283,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ5bqTz4+sn8a1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974016.178275,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ5bqTz4+sn8a1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974016.179076,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ5bqTz4+sn8a1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974016.179832,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-77,0,41,CAEQy9i+64Ge7IjfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974017.156714,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,89,CAEQy9i+64Ge7IjfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974017.157301,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-60,0,218,CAEQy9i+64Ge7IjfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974017.158325,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-76,0,38,CAEQy9i+64Ge7IjfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974017.15865,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQy9i+64Ge7IjfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974017.177597,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQy9i+64Ge7IjfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974017.180079,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQy9i+64Ge7IjfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974017.187705,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-74,0,39,CAEQiJ3t7ezI6sCoARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974018.156457,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-81,0,42,CAEQiJ3t7ezI6sCoARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974018.159263,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-68,0,90,CAEQiJ3t7ezI6sCoARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974018.159546,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-62,0,219,CAEQiJ3t7ezI6sCoARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974018.159793,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQiJ3t7ezI6sCoARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974018.17888,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQiJ3t7ezI6sCoARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974018.179473,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQiJ3t7ezI6sCoARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974018.181492,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-61,0,220,CAEQuOPxo4aqh9d6GAEgASoHCAEVAAB/PyoCCAIqAggD,1739974019.157324,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-79,0,43,CAEQuOPxo4aqh9d6GAEgASoHCAEVAAB/PyoCCAIqAggD,1739974019.157518,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-69,0,91,CAEQuOPxo4aqh9d6GAEgASoHCAEVAAB/PyoCCAIqAggD,1739974019.158298,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-80,0,40,CAEQuOPxo4aqh9d6GAEgASoHCAEVAAB/PyoCCAIqAggD,1739974019.159019,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQuOPxo4aqh9d6GAEgASoHCAEVAAB/PyoCCAIqAggD,1739974019.176277,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQuOPxo4aqh9d6GAEgASoHCAEVAAB/PyoCCAIqAggD,1739974019.178812,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQuOPxo4aqh9d6GAEgASoHCAEVAAB/PyoCCAIqAggD,1739974019.179465,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-82,0,44,CAEQxMKKt+qatYfHARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974020.156563,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-62,0,221,CAEQxMKKt+qatYfHARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974020.156744,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,41,CAEQxMKKt+qatYfHARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974020.156882,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-68,0,92,CAEQxMKKt+qatYfHARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974020.158609,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQxMKKt+qatYfHARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974020.177123,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQxMKKt+qatYfHARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1739974020.177314,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
