tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-79,0,225,CAEQsOiPoJK15tsgGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1743698861.271743,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-49,0,209,CAEQsOiPoJK15tsgGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1743698861.272723,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-81,0,202,CAEQsOiPoJK15tsgGAEgASoHCAEVAAB/PyoCCAIqBwgDFQAAgDs=,1743698861.272832,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-80,0,229,CAEQg5nF+oKd86LgARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743698862.271285,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-49,0,213,CAEQg5nF+oKd86LgARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743698862.272653,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-84,0,206,CAEQg5nF+oKd86LgARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743698862.272913,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQg5nF+oKd86LgARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743698862.290238,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQg5nF+oKd86LgARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743698862.291142,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQg5nF+oKd86LgARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743698862.295854,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-74,0,233,CAEQiOXF5tfft9IQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743698863.268882,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-51,0,216,CAEQiOXF5tfft9IQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743698863.269593,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-79,0,209,CAEQiOXF5tfft9IQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743698863.271539,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQiOXF5tfft9IQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743698863.290605,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQiOXF5tfft9IQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743698863.291911,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQiOXF5tfft9IQGAEgASoHCAEVAAB/PyoCCAIqAggD,1743698863.292718,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
