tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-77,0,227,CAEQtIua1Z6Yh9m1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705391.408123,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,30,CAEQtIua1Z6Yh9m1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705391.410692,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-61,0,162,CAEQtIua1Z6Yh9m1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705391.411613,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQtIua1Z6Yh9m1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705391.431536,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-83,0,33,CAEQppaj0MCp3ZQhGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705392.404774,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,230,CAEQppaj0MCp3ZQhGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705392.405465,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-63,0,165,CAEQppaj0MCp3ZQhGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705392.407697,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQppaj0MCp3ZQhGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705392.426599,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQppaj0MCp3ZQhGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705392.427454,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQppaj0MCp3ZQhGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705392.437701,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-72,0,234,CAEQvMCakr6iveuyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705393.407817,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-82,0,37,CAEQvMCakr6iveuyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705393.408551,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-60,0,169,CAEQvMCakr6iveuyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705393.409156,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQvMCakr6iveuyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705393.421356,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQvMCakr6iveuyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705393.429591,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQvMCakr6iveuyARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705393.430321,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-75,0,238,CAEQqJ6khLL5850TGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705394.407981,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,12,CAEQqJ6khLL5850TGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705394.408192,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-80,0,41,CAEQqJ6khLL5850TGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705394.408564,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQqJ6khLL5850TGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705394.423163,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQqJ6khLL5850TGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705394.427723,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQqJ6khLL5850TGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705394.430715,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-75,0,242,CAEQq+XfybOUjqt9GAEgASoHCAEVAAB/PyoCCAIqAggD,1743705395.407312,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-81,0,45,CAEQq+XfybOUjqt9GAEgASoHCAEVAAB/PyoCCAIqAggD,1743705395.407496,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,16,CAEQq+XfybOUjqt9GAEgASoHCAEVAAB/PyoCCAIqAggD,1743705395.408166,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQq+XfybOUjqt9GAEgASoHCAEVAAB/PyoCCAIqAggD,1743705395.427296,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQq+XfybOUjqt9GAEgASoHCAEVAAB/PyoCCAIqAggD,1743705395.428972,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQq+XfybOUjqt9GAEgASoHCAEVAAB/PyoCCAIqAggD,1743705395.43234,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-81,0,19,CAEQ7cWmpY/Lzt1DGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705396.408033,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-76,0,246,CAEQ7cWmpY/Lzt1DGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705396.410268,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-75,0,48,CAEQ7cWmpY/Lzt1DGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705396.412843,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ7cWmpY/Lzt1DGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705396.425645,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ7cWmpY/Lzt1DGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705396.428371,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ7cWmpY/Lzt1DGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705396.428531,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-74,0,51,CAEQp5KSiYCG+vCfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705397.407609,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-81,0,23,CAEQp5KSiYCG+vCfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705397.408519,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-73,0,250,CAEQp5KSiYCG+vCfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705397.408667,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQp5KSiYCG+vCfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705397.427086,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQp5KSiYCG+vCfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705397.427753,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQp5KSiYCG+vCfARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705397.428733,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-72,0,254,CAEQkebVt+Dm/7T8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705398.407302,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-92,0,55,CAEQkebVt+Dm/7T8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705398.408093,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-75,0,27,CAEQkebVt+Dm/7T8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705398.408506,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQkebVt+Dm/7T8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705398.420534,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQkebVt+Dm/7T8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705398.427173,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQkebVt+Dm/7T8ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705398.429188,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-75,0,2,CAEQ0t7ryYzE3sNtGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705399.407292,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-61,0,193,CAEQ0t7ryYzE3sNtGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705399.407565,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-76,0,59,CAEQ0t7ryYzE3sNtGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705399.411892,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ0t7ryYzE3sNtGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705399.420592,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0t7ryYzE3sNtGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705399.427995,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ0t7ryYzE3sNtGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705399.429135,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-77,0,63,CAEQ+7XUvtf2qbfPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705400.407503,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-72,0,6,CAEQ+7XUvtf2qbfPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705400.407713,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-61,0,197,CAEQ+7XUvtf2qbfPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705400.408364,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ+7XUvtf2qbfPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705400.425172,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ+7XUvtf2qbfPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705400.427264,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ+7XUvtf2qbfPARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705400.429557,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-59,0,201,CAEQ4b+1uMzB9b32ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705401.408389,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-92,0,66,CAEQ4b+1uMzB9b32ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705401.408758,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-80,0,9,CAEQ4b+1uMzB9b32ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705401.409551,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-76,0,70,CAEQ/N7/5qmnibDKARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705402.407708,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-61,0,205,CAEQ/N7/5qmnibDKARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705402.408219,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-77,0,12,CAEQ/N7/5qmnibDKARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705402.409276,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ/N7/5qmnibDKARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705402.427391,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-77,0,74,CAEQxu/Vl8/swLfAARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705403.407625,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-60,0,208,CAEQxu/Vl8/swLfAARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705403.407916,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,16,CAEQxu/Vl8/swLfAARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705403.410836,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQxu/Vl8/swLfAARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705403.422884,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQxu/Vl8/swLfAARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705403.429981,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQxu/Vl8/swLfAARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705403.430854,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-70,0,20,CAEQqMbn3oqcz/ypARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705404.408404,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-60,0,212,CAEQqMbn3oqcz/ypARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705404.408607,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-73,0,78,CAEQqMbn3oqcz/ypARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705404.415071,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQqMbn3oqcz/ypARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705404.420964,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQqMbn3oqcz/ypARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705404.427153,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQqMbn3oqcz/ypARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705404.428983,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-71,0,24,CAEQ/qKL99jOxOoHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705405.409358,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-79,0,54,CAEQ/qKL99jOxOoHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705405.410267,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-86,0,82,CAEQ/qKL99jOxOoHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705405.410545,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ/qKL99jOxOoHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705405.427049,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ/qKL99jOxOoHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705405.427265,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ/qKL99jOxOoHGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705405.430294,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-77,0,85,CAEQ/YOMx7DN59jkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705406.407724,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-74,0,28,CAEQ/YOMx7DN59jkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705406.407905,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-79,0,57,CAEQ/YOMx7DN59jkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705406.408855,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ/YOMx7DN59jkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705406.433218,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ/YOMx7DN59jkARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705406.442416,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-73,0,32,CAEQyLTB9ovvmaH1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705407.404605,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-78,0,89,CAEQyLTB9ovvmaH1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705407.408248,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-80,0,61,CAEQyLTB9ovvmaH1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705407.408473,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQyLTB9ovvmaH1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705407.425702,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQyLTB9ovvmaH1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705407.428878,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQyLTB9ovvmaH1ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705407.430504,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-75,0,36,CAEQxpj7maKaiaYRGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705408.407924,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-73,0,65,CAEQxpj7maKaiaYRGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705408.408107,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-80,0,93,CAEQxpj7maKaiaYRGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705408.409852,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQxpj7maKaiaYRGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705408.422587,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQxpj7maKaiaYRGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705408.426123,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQxpj7maKaiaYRGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705408.428386,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-82,0,69,CAEQjqm/1e2QxdPdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705409.407686,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
127,-73,0,97,CAEQjqm/1e2QxdPdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705409.407954,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,40,CAEQjqm/1e2QxdPdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705409.408751,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQjqm/1e2QxdPdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705409.421284,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQjqm/1e2QxdPdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705409.427807,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQjqm/1e2QxdPdARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705409.429947,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-64,0,235,CAEQ+MvzuOPv7PZFGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705410.409723,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-75,0,44,CAEQ+MvzuOPv7PZFGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705410.410963,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-80,0,101,CAEQ+MvzuOPv7PZFGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705410.412154,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ+MvzuOPv7PZFGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705410.42777,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ+MvzuOPv7PZFGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705410.428737,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ+MvzuOPv7PZFGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705410.42975,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-85,0,105,CAEQ6c6Vpf2Uo+e2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705411.409154,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-71,0,48,CAEQ6c6Vpf2Uo+e2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705411.409332,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-60,0,239,CAEQ6c6Vpf2Uo+e2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705411.409696,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ6c6Vpf2Uo+e2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705411.427366,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ6c6Vpf2Uo+e2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705411.42959,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ6c6Vpf2Uo+e2ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705411.454563,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
127,-95,0,108,CAEQ3sLZ5ejOxPkbGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705412.407418,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-71,0,51,CAEQ3sLZ5ejOxPkbGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705412.40894,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-63,0,243,CAEQ3sLZ5ejOxPkbGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705412.409614,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ3sLZ5ejOxPkbGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705412.426986,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ3sLZ5ejOxPkbGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705412.427704,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ3sLZ5ejOxPkbGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705412.433722,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-61,0,247,CAEQ0ZuWkpH+nf6tARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1743705413.408218,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-76,0,112,CAEQ0ZuWkpH+nf6tARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1743705413.408871,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-73,0,55,CAEQ0ZuWkpH+nf6tARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1743705413.410453,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ0ZuWkpH+nf6tARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1743705413.42618,ble-pd-B43A31EF7B45,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ0ZuWkpH+nf6tARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1743705413.428755,ble-pd-B43A31EF7B45,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0ZuWkpH+nf6tARgBIAEqBwgBFQAAfj8qAggCKgcIAxUAAAA8,1743705413.429136,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-72,0,59,CAEQnsblk4Hv6O+0ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705414.406136,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-61,0,251,CAEQnsblk4Hv6O+0ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705414.406893,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-85,0,116,CAEQnsblk4Hv6O+0ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705414.40764,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
127,-60,0,255,CAEQ7dvKgKXKyYa4ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705415.406294,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B3F
127,-82,0,63,CAEQ7dvKgKXKyYa4ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705415.408763,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-80,0,120,CAEQ7dvKgKXKyYa4ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705415.412765,ble-pd-B43A31EF7B45,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ7dvKgKXKyYa4ARgBIAEqBwgBFQAAfz8qAggCKgIIAw==,1743705415.429977,ble-pd-B43A31EF7B45,ble-pd-639AA0EB1D6C
127,-75,0,67,CAEQmuO1n4jQ5tVSGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705416.408836,ble-pd-B43A31EF7B45,ble-pd-0C4314F469CC
127,-83,0,96,CAEQmuO1n4jQ5tVSGAEgASoHCAEVAAB/PyoCCAIqAggD,1743705416.410881,ble-pd-B43A31EF7B45,ble-pd-0C4314F46CC2
