tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-62,0,201,CAEQ2enr/rbdooUFGAEgASoCCAEqBwgCFQAAfz8qAggD,1740487113.359314,ble-pd-588E816309D5,ble-pd-0C4314F46B3F
127,-80,0,112,CAEQ2enr/rbdooUFGAEgASoCCAEqBwgCFQAAfz8qAggD,1740487113.360474,ble-pd-588E816309D5,ble-pd-0C4314F469CC
127,-91,0,224,CAEQ2enr/rbdooUFGAEgASoCCAEqBwgCFQAAfz8qAggD,1740487113.360636,ble-pd-588E816309D5,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ2enr/rbdooUFGAEgASoCCAEqBwgCFQAAfz8qAggD,1740487113.360789,ble-pd-588E816309D5,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ2enr/rbdooUFGAEgASoCCAEqBwgCFQAAfz8qAggD,1740487113.360912,ble-pd-588E816309D5,ble-pd-639AA0EB1D6C
127,-92,0,202,CAEQ1LXmnJudk/urARgCIAEqAggBKgcIAhUAAEw+KgcIAxUAAE0/,1740487113.589503,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-84,0,113,CAEQ1LXmnJudk/urARgCIAEqAggBKgcIAhUAAEw+KgcIAxUAAE0/,1740487113.590127,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ1LXmnJudk/urARgCIAEqAggBKgcIAhUAAEw+KgcIAxUAAE0/,1740487113.605311,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ1LXmnJudk/urARgCIAEqAggBKgcIAhUAAEw+KgcIAxUAAE0/,1740487113.606904,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
127,-73,0,225,CAEQqIjdlqK6jpV3GAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740487113.81828,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
