tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-68,0,207,CAEQ/5mWlejn9av/ARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740059124.676341,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-68,0,197,CAEQ/5mWlejn9av/ARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740059124.677523,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-77,0,40,CAEQ/5mWlejn9av/ARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740059124.677719,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-69,0,93,CAEQ/5mWlejn9av/ARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740059124.682815,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ/5mWlejn9av/ARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740059124.698311,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ/5mWlejn9av/ARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740059124.700082,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ/5mWlejn9av/ARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740059124.701418,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-73,0,208,CAEQ49Ld256H9O3AARgBIAEqAggBKgcIAhUAAGI/KgcIAxUAAPA9,1740059125.677262,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-69,0,94,CAEQ49Ld256H9O3AARgBIAEqAggBKgcIAhUAAGI/KgcIAxUAAPA9,1740059125.678437,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-75,0,41,CAEQ49Ld256H9O3AARgBIAEqAggBKgcIAhUAAGI/KgcIAxUAAPA9,1740059125.678974,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-65,0,198,CAEQ49Ld256H9O3AARgBIAEqAggBKgcIAhUAAGI/KgcIAxUAAPA9,1740059125.679509,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ49Ld256H9O3AARgBIAEqAggBKgcIAhUAAGI/KgcIAxUAAPA9,1740059125.698568,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ49Ld256H9O3AARgBIAEqAggBKgcIAhUAAGI/KgcIAxUAAPA9,1740059125.699152,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ49Ld256H9O3AARgBIAEqAggBKgcIAhUAAGI/KgcIAxUAAPA9,1740059125.700834,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-81,0,95,CAEQxPTihfedj+KrARgBIAEqAggBKgcIAhUAAHk/KgcIAxUAAOA8,1740059126.676104,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-73,0,209,CAEQxPTihfedj+KrARgBIAEqAggBKgcIAhUAAHk/KgcIAxUAAOA8,1740059126.676364,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-67,0,199,CAEQxPTihfedj+KrARgBIAEqAggBKgcIAhUAAHk/KgcIAxUAAOA8,1740059126.677504,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-74,0,42,CAEQxPTihfedj+KrARgBIAEqAggBKgcIAhUAAHk/KgcIAxUAAOA8,1740059126.680658,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-65,0,200,CAEQoeP3lbOAlchIGAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1740059127.676665,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-72,0,210,CAEQoeP3lbOAlchIGAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1740059127.6774,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
