tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-79,0,42,CAEQq+7Qj92E3ddQGAEgASoCCAEqBwgCFQAAfz8qAggD,1740493985.930531,ble-pd-B43A31EF7B34,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQq+7Qj92E3ddQGAEgASoCCAEqBwgCFQAAfz8qAggD,1740493985.936528,ble-pd-B43A31EF7B34,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQq+7Qj92E3ddQGAEgASoCCAEqBwgCFQAAfz8qAggD,1740493985.936708,ble-pd-B43A31EF7B34,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQq+7Qj92E3ddQGAEgASoCCAEqBwgCFQAAfz8qAggD,1740493985.942527,ble-pd-B43A31EF7B34,ble-pd-639AA0EB1D6C
127,-73,0,61,CAEQ65XfsfD9gKwxGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740493985.993572,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-66,0,43,CAEQ65XfsfD9gKwxGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740493985.994796,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-82,0,77,CAEQ65XfsfD9gKwxGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740493985.995038,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-65,0,114,CAEQ65XfsfD9gKwxGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740493985.996152,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ65XfsfD9gKwxGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740493986.008672,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ65XfsfD9gKwxGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740493986.013317,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ65XfsfD9gKwxGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1740493986.015595,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-70,0,78,CAEQkqSH5vGx1o8XGAUgASoHCAEVAAB/PyoCCAIqAggD,1740493986.315308,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-65,0,115,CAEQkqSH5vGx1o8XGAUgASoHCAEVAAB/PyoCCAIqAggD,1740493986.315636,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-95,0,62,CAEQkqSH5vGx1o8XGAUgASoHCAEVAAB/PyoCCAIqAggD,1740493986.316472,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-75,0,44,CAEQkqSH5vGx1o8XGAUgASoHCAEVAAB/PyoCCAIqAggD,1740493986.31697,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQkqSH5vGx1o8XGAUgASoHCAEVAAB/PyoCCAIqAggD,1740493986.334793,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
