tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-76,0,187,CAEQ2s6N+r6/9JhnGAIgASoHCAEVAABAPSoHCAIVAABjPyoHCAMVAACIPQ==,1740494268.752737,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-81,0,74,CAEQ2s6N+r6/9JhnGAIgASoHCAEVAABAPSoHCAIVAABjPyoHCAMVAACIPQ==,1740494268.755191,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-89,0,241,CAEQ2s6N+r6/9JhnGAIgASoHCAEVAABAPSoHCAIVAABjPyoHCAMVAACIPQ==,1740494268.758333,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-77,0,78,CAEQ2s6N+r6/9JhnGAIgASoHCAEVAABAPSoHCAIVAABjPyoHCAMVAACIPQ==,1740494268.758817,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ2s6N+r6/9JhnGAIgASoHCAEVAABAPSoHCAIVAABjPyoHCAMVAACIPQ==,1740494268.770704,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ2s6N+r6/9JhnGAIgASoHCAEVAABAPSoHCAIVAABjPyoHCAMVAACIPQ==,1740494268.773984,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
127,-76,0,188,CAEQvI6nqJS80q18GAEgASoCCAEqBwgCFQAAfz8qAggD,1740494268.91825,ble-pd-B43A31EF7B34,ble-pd-0C4314F46B26
127,-83,0,75,CAEQvI6nqJS80q18GAEgASoCCAEqBwgCFQAAfz8qAggD,1740494268.918487,ble-pd-B43A31EF7B34,ble-pd-0C4314F469CC
127,-81,0,79,CAEQvI6nqJS80q18GAEgASoCCAEqBwgCFQAAfz8qAggD,1740494268.918724,ble-pd-B43A31EF7B34,ble-pd-0C4314F46CC2
127,-81,0,242,CAEQvI6nqJS80q18GAEgASoCCAEqBwgCFQAAfz8qAggD,1740494268.919305,ble-pd-B43A31EF7B34,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQvI6nqJS80q18GAEgASoCCAEqBwgCFQAAfz8qAggD,1740494268.934241,ble-pd-B43A31EF7B34,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQvI6nqJS80q18GAEgASoCCAEqBwgCFQAAfz8qAggD,1740494268.938771,ble-pd-B43A31EF7B34,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQvI6nqJS80q18GAEgASoCCAEqBwgCFQAAfz8qAggD,1740494268.939363,ble-pd-B43A31EF7B34,ble-pd-639AA0EB1D6C
127,-70,0,189,CAEQoMih9dbbgaSwARgBIAEqAggBKgcIAhUAAHc/KgcIAxUAABA9,1740494269.000432,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
