tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-64,0,106,CAEQnur+0vPyi/4WGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741368692.019671,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-71,0,165,CAEQnur+0vPyi/4WGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741368692.023567,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-75,0,1,CAEQnur+0vPyi/4WGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741368692.024115,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-86,0,205,CAEQnur+0vPyi/4WGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741368692.024217,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQnur+0vPyi/4WGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741368692.044199,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQnur+0vPyi/4WGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741368692.046406,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQnur+0vPyi/4WGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741368692.047704,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-95,0,2,CAEQ8fLY6r77sPRUGAIgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741368692.162473,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-78,0,166,CAEQ8fLY6r77sPRUGAIgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741368692.162785,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-67,0,107,CAEQ8fLY6r77sPRUGAIgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741368692.16298,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-93,0,206,CAEQ8fLY6r77sPRUGAIgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741368692.163365,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ8fLY6r77sPRUGAIgASoCCAEqBwgCFQAAgDsqBwgDFQAAfz8=,1741368692.184271,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
127,-85,0,167,CAEQvp2bxeSK++MEGAUgASoCCAEqBwgCFQAAADwqBwgDFQAAfj8=,1741368692.479636,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-95,0,207,CAEQvp2bxeSK++MEGAUgASoCCAEqBwgCFQAAADwqBwgDFQAAfj8=,1741368692.480387,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-66,0,108,CAEQvp2bxeSK++MEGAUgASoCCAEqBwgCFQAAADwqBwgDFQAAfj8=,1741368692.480994,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-83,0,3,CAEQvp2bxeSK++MEGAUgASoCCAEqBwgCFQAAADwqBwgDFQAAfj8=,1741368692.481579,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQvp2bxeSK++MEGAUgASoCCAEqBwgCFQAAADwqBwgDFQAAfj8=,1741368692.499498,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQvp2bxeSK++MEGAUgASoCCAEqBwgCFQAAADwqBwgDFQAAfj8=,1741368692.499628,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQvp2bxeSK++MEGAUgASoCCAEqBwgCFQAAADwqBwgDFQAAfj8=,1741368692.500027,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-82,0,168,CAEQ+9vO7erKtOXpARgDIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1741368692.654324,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-100,0,208,CAEQ+9vO7erKtOXpARgDIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1741368692.65457,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
