tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-83,0,175,CAEQi42npKH67IiSARgBIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1740404283.086127,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-73,0,187,CAEQi42npKH67IiSARgBIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1740404283.086463,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-80,0,33,CAEQi42npKH67IiSARgBIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1740404283.087001,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-61,0,82,CAEQi42npKH67IiSARgBIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1740404283.087489,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQi42npKH67IiSARgBIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1740404283.097108,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQi42npKH67IiSARgBIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1740404283.108326,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQi42npKH67IiSARgBIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1740404283.113366,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-86,0,176,CAEQ4Pya5o7z0OMSGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740404284.088304,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-65,0,188,CAEQ4Pya5o7z0OMSGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740404284.088622,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-76,0,34,CAEQ4Pya5o7z0OMSGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740404284.091908,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-57,0,83,CAEQ4Pya5o7z0OMSGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740404284.094516,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ4Pya5o7z0OMSGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740404284.101757,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ4Pya5o7z0OMSGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740404284.109218,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ4Pya5o7z0OMSGAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1740404284.11134,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-74,0,177,CAEQ0/WQrrygkNknGAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404285.083003,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-77,0,35,CAEQ0/WQrrygkNknGAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404285.086814,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-64,0,189,CAEQ0/WQrrygkNknGAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404285.08795,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-61,0,84,CAEQ0/WQrrygkNknGAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404285.089173,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ0/WQrrygkNknGAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404285.109023,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ0/WQrrygkNknGAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404285.109392,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ0/WQrrygkNknGAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404285.110911,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-77,0,190,CAEQ44rrn/LlkcSTARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740404286.08404,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-66,0,85,CAEQ44rrn/LlkcSTARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740404286.084669,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-77,0,178,CAEQ44rrn/LlkcSTARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740404286.085015,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-76,0,36,CAEQ44rrn/LlkcSTARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740404286.085839,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ44rrn/LlkcSTARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740404286.124822,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ44rrn/LlkcSTARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740404286.125766,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-68,0,191,CAEQoJDO3YvW9YwoGAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740404287.082847,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-83,0,37,CAEQoJDO3YvW9YwoGAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740404287.083005,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-83,0,179,CAEQoJDO3YvW9YwoGAEgASoCCAEqBwgCFQAAaT8qBwgDFQAAuD0=,1740404287.083795,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
