tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-74,0,212,CAEQltvz7qenic4hGAEgASoCCAEqBwgCFQAAGz8qBwgDFQAAyj4=,1741367282.988366,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-67,0,198,CAEQltvz7qenic4hGAEgASoCCAEqBwgCFQAAGz8qBwgDFQAAyj4=,1741367282.988694,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-76,0,143,CAEQltvz7qenic4hGAEgASoCCAEqBwgCFQAAGz8qBwgDFQAAyj4=,1741367282.988985,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-71,0,123,CAEQltvz7qenic4hGAEgASoCCAEqBwgCFQAAGz8qBwgDFQAAyj4=,1741367282.989679,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQltvz7qenic4hGAEgASoCCAEqBwgCFQAAGz8qBwgDFQAAyj4=,1741367283.008664,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQltvz7qenic4hGAEgASoCCAEqBwgCFQAAGz8qBwgDFQAAyj4=,1741367283.009991,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQltvz7qenic4hGAEgASoCCAEqBwgCFQAAGz8qBwgDFQAAyj4=,1741367283.013432,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-75,0,213,CAEQtK2Fqbuf6s52GAIgASoCCAEqBwgCFQAACz8qBwgDFQAA6j4=,1741367283.129347,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-84,0,144,CAEQtK2Fqbuf6s52GAIgASoCCAEqBwgCFQAACz8qBwgDFQAA6j4=,1741367283.129891,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-81,0,199,CAEQtK2Fqbuf6s52GAIgASoCCAEqBwgCFQAACz8qBwgDFQAA6j4=,1741367283.130753,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-80,0,124,CAEQtK2Fqbuf6s52GAIgASoCCAEqBwgCFQAACz8qBwgDFQAA6j4=,1741367283.131275,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
