tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
0,-200,0,0,CAEQ3pG7mp+yyqgeGAEgASoCCAEqBwgCFQAAfz8qAggD,1740406627.166305,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ3pG7mp+yyqgeGAEgASoCCAEqBwgCFQAAfz8qAggD,1740406627.166807,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ3pG7mp+yyqgeGAEgASoCCAEqBwgCFQAAfz8qAggD,1740406627.172449,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-78,0,46,CAEQ4++E45TwvIrwARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740406628.144215,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-72,0,26,CAEQ4++E45TwvIrwARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740406628.144469,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-78,0,180,CAEQ4++E45TwvIrwARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740406628.144644,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-77,0,193,CAEQ4++E45TwvIrwARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740406628.155387,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ4++E45TwvIrwARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740406628.166064,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ4++E45TwvIrwARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740406628.167033,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ4++E45TwvIrwARgBIAEqAggBKgcIAhUAAH0/KgcIAxUAAEA8,1740406628.168848,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-69,0,181,CAEQsZ3j35zioMRIGAEgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1740406629.144183,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-70,0,194,CAEQsZ3j35zioMRIGAEgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1740406629.144373,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-76,0,27,CAEQsZ3j35zioMRIGAEgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1740406629.145078,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-62,0,47,CAEQsZ3j35zioMRIGAEgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1740406629.145218,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQsZ3j35zioMRIGAEgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1740406629.165549,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQsZ3j35zioMRIGAEgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1740406629.16666,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQsZ3j35zioMRIGAEgASoCCAEqBwgCFQAAbj8qBwgDFQAAkD0=,1740406629.167024,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-75,0,48,CAEQt/bq/6DSjvcPGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740406630.144199,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-75,0,195,CAEQt/bq/6DSjvcPGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740406630.144417,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-77,0,182,CAEQt/bq/6DSjvcPGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740406630.144846,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-70,0,28,CAEQt/bq/6DSjvcPGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740406630.145436,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQt/bq/6DSjvcPGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740406630.164789,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQt/bq/6DSjvcPGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740406630.166187,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQt/bq/6DSjvcPGAEgASoCCAEqBwgCFQAAdD8qBwgDFQAAQD0=,1740406630.167092,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-76,0,49,CAEQ+/WAhLe54NFhGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740406631.14438,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-75,0,183,CAEQ+/WAhLe54NFhGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740406631.144568,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-75,0,29,CAEQ+/WAhLe54NFhGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740406631.145347,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-72,0,196,CAEQ+/WAhLe54NFhGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740406631.146152,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ+/WAhLe54NFhGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740406631.164732,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ+/WAhLe54NFhGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740406631.165175,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ+/WAhLe54NFhGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740406631.167063,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-71,0,184,CAEQzriT2K3I5PvcARgBIAEqAggBKgcIAhUAAFQ/KgcIAxUAADA+,1740406632.146409,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-60,0,50,CAEQzriT2K3I5PvcARgBIAEqAggBKgcIAhUAAFQ/KgcIAxUAADA+,1740406632.150305,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-74,0,197,CAEQzriT2K3I5PvcARgBIAEqAggBKgcIAhUAAFQ/KgcIAxUAADA+,1740406632.150825,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-81,0,30,CAEQzriT2K3I5PvcARgBIAEqAggBKgcIAhUAAFQ/KgcIAxUAADA+,1740406632.151807,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQzriT2K3I5PvcARgBIAEqAggBKgcIAhUAAFQ/KgcIAxUAADA+,1740406632.164912,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQzriT2K3I5PvcARgBIAEqAggBKgcIAhUAAFQ/KgcIAxUAADA+,1740406632.167792,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQzriT2K3I5PvcARgBIAEqAggBKgcIAhUAAFQ/KgcIAxUAADA+,1740406632.168832,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-60,0,51,CAEQmcPb7aDk59rWARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740406633.145599,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-77,0,198,CAEQmcPb7aDk59rWARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740406633.145956,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-78,0,185,CAEQmcPb7aDk59rWARgBIAEqAggBKgcIAhUAAHo/KgcIAxUAAMA8,1740406633.146736,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
