tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-65,0,220,CAEQ+/zipvOA4K2HARgDIAEqAggBKgcIAhUAACA/KgcIAxUAAMA+,1741369380.675193,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-83,0,75,CAEQ+/zipvOA4K2HARgDIAEqAggBKgcIAhUAACA/KgcIAxUAAMA+,1741369380.675709,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-81,0,23,CAEQ+/zipvOA4K2HARgDIAEqAggBKgcIAhUAACA/KgcIAxUAAMA+,1741369380.676148,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-79,0,67,CAEQ+/zipvOA4K2HARgDIAEqAggBKgcIAhUAACA/KgcIAxUAAMA+,1741369380.679722,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ+/zipvOA4K2HARgDIAEqAggBKgcIAhUAACA/KgcIAxUAAMA+,1741369380.687611,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ+/zipvOA4K2HARgDIAEqAggBKgcIAhUAACA/KgcIAxUAAMA+,1741369380.691743,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-89,0,68,CAEQnvqshvSs7roDGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741369381.041997,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-81,0,76,CAEQnvqshvSs7roDGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741369381.042387,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-64,0,221,CAEQnvqshvSs7roDGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741369381.042641,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-68,0,24,CAEQnvqshvSs7roDGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741369381.044435,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQnvqshvSs7roDGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741369381.05657,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQnvqshvSs7roDGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741369381.061079,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQnvqshvSs7roDGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1741369381.062119,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-77,0,77,CAEQ7rGL8uvJ7P2bARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741369381.175524,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-82,0,69,CAEQ7rGL8uvJ7P2bARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741369381.178771,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-75,0,222,CAEQ7rGL8uvJ7P2bARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741369381.179484,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-88,0,25,CAEQ7rGL8uvJ7P2bARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741369381.184563,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ7rGL8uvJ7P2bARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1741369381.203217,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
127,-76,0,70,CAEQobuu65+Fx/PBARgFIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1741369381.496729,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-67,0,223,CAEQobuu65+Fx/PBARgFIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1741369381.496975,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
127,-71,0,78,CAEQobuu65+Fx/PBARgFIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1741369381.49707,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-89,0,26,CAEQobuu65+Fx/PBARgFIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1741369381.497244,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQobuu65+Fx/PBARgFIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1741369381.514818,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQobuu65+Fx/PBARgFIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1741369381.517064,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQobuu65+Fx/PBARgFIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1741369381.517258,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-88,0,79,CAEQ2bG5m+C9g5KSARgDIAEqAggBKgcIAhUAAG4/KgcIAxUAAJA9,1741369381.672229,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-82,0,27,CAEQ2bG5m+C9g5KSARgDIAEqAggBKgcIAhUAAG4/KgcIAxUAAJA9,1741369381.672989,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-68,0,224,CAEQ2bG5m+C9g5KSARgDIAEqAggBKgcIAhUAAG4/KgcIAxUAAJA9,1741369381.689242,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ2bG5m+C9g5KSARgDIAEqAggBKgcIAhUAAG4/KgcIAxUAAJA9,1741369381.689404,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ2bG5m+C9g5KSARgDIAEqAggBKgcIAhUAAG4/KgcIAxUAAJA9,1741369381.691443,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ2bG5m+C9g5KSARgDIAEqAggBKgcIAhUAAG4/KgcIAxUAAJA9,1741369381.695028,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-78,0,71,CAEQ2bG5m+C9g5KSARgDIAEqAggBKgcIAhUAAG4/KgcIAxUAAJA9,1741369381.703954,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-74,0,28,CAEQzKHkyuahkZGXARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1741369382.035366,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-67,0,80,CAEQzKHkyuahkZGXARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1741369382.035773,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-73,0,72,CAEQzKHkyuahkZGXARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1741369382.036244,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-60,0,225,CAEQzKHkyuahkZGXARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1741369382.036693,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQzKHkyuahkZGXARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1741369382.060427,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQzKHkyuahkZGXARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1741369382.065264,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQzKHkyuahkZGXARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1741369382.066668,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-85,0,73,CAEQz5HGr8K0ho9AGAIgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1741369382.178267,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-75,0,226,CAEQz5HGr8K0ho9AGAIgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1741369382.17867,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-89,0,29,CAEQz5HGr8K0ho9AGAIgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1741369382.178996,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-80,0,81,CAEQz5HGr8K0ho9AGAIgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1741369382.179327,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQz5HGr8K0ho9AGAIgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1741369382.198113,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQz5HGr8K0ho9AGAIgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1741369382.204542,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
127,-78,0,30,CAEQivyKzY6k1KxNGAUgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1741369382.494347,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-67,0,227,CAEQivyKzY6k1KxNGAUgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1741369382.495388,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
127,-70,0,82,CAEQivyKzY6k1KxNGAUgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1741369382.496402,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-81,0,74,CAEQivyKzY6k1KxNGAUgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1741369382.496748,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
0,-200,0,0,CAEQivyKzY6k1KxNGAUgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1741369382.514078,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQivyKzY6k1KxNGAUgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1741369382.516601,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQivyKzY6k1KxNGAUgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1741369382.518361,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
127,-69,0,75,CAEQm9a8hOXylYAgGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1741369383.037113,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-60,0,228,CAEQm9a8hOXylYAgGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1741369383.037559,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-58,0,83,CAEQm9a8hOXylYAgGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1741369383.038573,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-69,0,31,CAEQm9a8hOXylYAgGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1741369383.04074,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQm9a8hOXylYAgGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1741369383.056781,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQm9a8hOXylYAgGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1741369383.059581,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQm9a8hOXylYAgGAEgASoCCAEqBwgCFQAAfT8qBwgDFQAAQDw=,1741369383.063462,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-93,0,32,CAEQ1vvfoZrQm8GfARgCIAEqAggBKgcIAhUAAMA8KgcIAxUAAHo/,1741369383.176171,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-72,0,229,CAEQ1vvfoZrQm8GfARgCIAEqAggBKgcIAhUAAMA8KgcIAxUAAHo/,1741369383.178547,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-75,0,76,CAEQ1vvfoZrQm8GfARgCIAEqAggBKgcIAhUAAMA8KgcIAxUAAHo/,1741369383.178988,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-79,0,84,CAEQ1vvfoZrQm8GfARgCIAEqAggBKgcIAhUAAMA8KgcIAxUAAHo/,1741369383.179412,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ1vvfoZrQm8GfARgCIAEqAggBKgcIAhUAAMA8KgcIAxUAAHo/,1741369383.197879,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ1vvfoZrQm8GfARgCIAEqAggBKgcIAhUAAMA8KgcIAxUAAHo/,1741369383.199053,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
