tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-70,0,234,CAEQn5uj9cn5hKlUGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740404442.08713,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-68,0,191,CAEQn5uj9cn5hKlUGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740404442.087336,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-72,0,86,CAEQn5uj9cn5hKlUGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740404442.087574,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-78,0,76,CAEQn5uj9cn5hKlUGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740404442.09044,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQn5uj9cn5hKlUGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740404442.101397,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQn5uj9cn5hKlUGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740404442.102075,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQn5uj9cn5hKlUGAEgASoCCAEqBwgCFQAAbD8qBwgDFQAAoD0=,1740404442.111256,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-68,0,87,CAEQq4/alpiQ2vF/GAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404443.087076,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-59,0,192,CAEQq4/alpiQ2vF/GAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404443.087203,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-78,0,235,CAEQq4/alpiQ2vF/GAEgASoCCAEqBwgCFQAAfj8qBwgDFQAAADw=,1740404443.088289,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
