tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-69,0,28,CAEQx4yGtoiAy5ufARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1743688770.109023,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-64,0,165,CAEQx4yGtoiAy5ufARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1743688770.109373,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-70,0,35,CAEQx4yGtoiAy5ufARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1743688770.109483,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-83,0,166,CAEQusuQscz5vv7RARgDIAEqAggBKgcIAhUAAOo+KgcIAxUAAAs/,1743688770.314985,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-85,0,29,CAEQusuQscz5vv7RARgDIAEqAggBKgcIAhUAAOo+KgcIAxUAAAs/,1743688770.315245,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-94,0,36,CAEQusuQscz5vv7RARgDIAEqAggBKgcIAhUAAOo+KgcIAxUAAAs/,1743688770.316297,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQusuQscz5vv7RARgDIAEqAggBKgcIAhUAAOo+KgcIAxUAAAs/,1743688770.335938,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQusuQscz5vv7RARgDIAEqAggBKgcIAhUAAOo+KgcIAxUAAAs/,1743688770.336245,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQusuQscz5vv7RARgDIAEqAggBKgcIAhUAAOo+KgcIAxUAAAs/,1743688770.336618,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
127,-84,0,30,CAEQk8q/ztyfn84HGAIgASoCCAEqBwgCFQAAPT8qBwgDFQAAhj4=,1743688770.461208,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-88,0,167,CAEQk8q/ztyfn84HGAIgASoCCAEqBwgCFQAAPT8qBwgDFQAAhj4=,1743688770.465579,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQk8q/ztyfn84HGAIgASoCCAEqBwgCFQAAPT8qBwgDFQAAhj4=,1743688770.482848,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQk8q/ztyfn84HGAIgASoCCAEqBwgCFQAAPT8qBwgDFQAAhj4=,1743688770.488498,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQk8q/ztyfn84HGAIgASoCCAEqBwgCFQAAPT8qBwgDFQAAhj4=,1743688770.489504,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-72,0,168,CAEQ1PuVmpWSi5T+ARgFIAEqBwgBFQAATT8qBwgCFQAATD4qAggD,1743688770.797849,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-82,0,31,CAEQ1PuVmpWSi5T+ARgFIAEqBwgBFQAATT8qBwgCFQAATD4qAggD,1743688770.805027,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ1PuVmpWSi5T+ARgFIAEqBwgBFQAATT8qBwgCFQAATD4qAggD,1743688770.818305,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ1PuVmpWSi5T+ARgFIAEqBwgBFQAATT8qBwgCFQAATD4qAggD,1743688770.819712,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ1PuVmpWSi5T+ARgFIAEqBwgBFQAATT8qBwgCFQAATD4qAggD,1743688770.820952,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
127,-65,0,169,CAEQz7W+y8TS34PGARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1743688771.091987,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-70,0,37,CAEQz7W+y8TS34PGARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1743688771.092551,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-77,0,32,CAEQz7W+y8TS34PGARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1743688771.101201,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQz7W+y8TS34PGARgBIAEqAggBKgcIAhUAAHg/KgcIAxUAAAA9,1743688771.109956,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
