tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-54,0,212,CAEQvO6XlMvetbSeARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770749.046092,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-66,0,201,CAEQvO6XlMvetbSeARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770749.046433,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-72,0,177,CAEQvO6XlMvetbSeARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770749.046564,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQvO6XlMvetbSeARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770749.046685,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQvO6XlMvetbSeARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770749.047119,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQvO6XlMvetbSeARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770749.056026,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-87,0,178,CAEQquTGi7Piy/vvARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770749.661984,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-90,0,185,CAEQquTGi7Piy/vvARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770749.662223,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-87,0,202,CAEQquTGi7Piy/vvARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770749.663165,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQquTGi7Piy/vvARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770749.67486,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQquTGi7Piy/vvARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770749.67771,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQquTGi7Piy/vvARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770749.684396,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-69,0,203,CAEQl4mauZXN6O3/ARgFIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1743770749.858524,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-82,0,179,CAEQl4mauZXN6O3/ARgFIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1743770749.859353,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-78,0,186,CAEQl4mauZXN6O3/ARgFIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1743770749.859542,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQl4mauZXN6O3/ARgFIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1743770749.873127,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQl4mauZXN6O3/ARgFIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1743770749.877882,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQl4mauZXN6O3/ARgFIAEqAggBKgcIAhUAANQ+KgcIAxUAABY/,1743770749.879334,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
127,-97,0,204,CAEQmrve7fic+u2YARgDIAEqAggBKgcIAhUAACs/KgcIAxUAAKo+,1743770749.935014,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-87,0,187,CAEQmrve7fic+u2YARgDIAEqAggBKgcIAhUAACs/KgcIAxUAAKo+,1743770749.940633,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-94,0,180,CAEQmrve7fic+u2YARgDIAEqAggBKgcIAhUAACs/KgcIAxUAAKo+,1743770749.949841,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-79,0,188,CAEQ5NHgr8/dpcCiARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770750.029701,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-71,0,181,CAEQ5NHgr8/dpcCiARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770750.030255,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-82,0,205,CAEQ5NHgr8/dpcCiARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770750.031381,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ5NHgr8/dpcCiARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770750.042907,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ5NHgr8/dpcCiARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770750.051153,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ5NHgr8/dpcCiARgBIAEqAggBKgcIAhUAAH8/KgIIAw==,1743770750.053378,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-87,0,182,CAEQhumaitWtzPvTARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770750.656627,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-85,0,189,CAEQhumaitWtzPvTARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770750.656947,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-87,0,206,CAEQhumaitWtzPvTARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770750.660133,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQhumaitWtzPvTARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770750.673979,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQhumaitWtzPvTARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770750.677915,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQhumaitWtzPvTARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743770750.678597,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
127,-80,0,190,CAEQ14+/idaD9L2NARgFIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743770750.858877,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-93,0,183,CAEQ14+/idaD9L2NARgFIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743770750.859157,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-69,0,207,CAEQ14+/idaD9L2NARgFIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743770750.859712,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ14+/idaD9L2NARgFIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743770750.876055,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ14+/idaD9L2NARgFIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743770750.878699,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ14+/idaD9L2NARgFIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743770750.881183,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
127,-86,0,191,CAEQ+63Tqo/0hd+4ARgDIAEqAggBKgcIAhUAAOo+KgcIAxUAAAs/,1743770750.918815,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-97,0,184,CAEQ+63Tqo/0hd+4ARgDIAEqAggBKgcIAhUAAOo+KgcIAxUAAAs/,1743770750.919352,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ+63Tqo/0hd+4ARgDIAEqAggBKgcIAhUAAOo+KgcIAxUAAAs/,1743770750.936202,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
127,-64,0,185,CAEQ56W83qGxpPwLGAEgASoCCAEqBwgCFQAAfz8qAggD,1743770751.029357,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-82,0,192,CAEQ56W83qGxpPwLGAEgASoCCAEqBwgCFQAAfz8qAggD,1743770751.030493,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-69,0,208,CAEQ56W83qGxpPwLGAEgASoCCAEqBwgCFQAAfz8qAggD,1743770751.038678,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ56W83qGxpPwLGAEgASoCCAEqBwgCFQAAfz8qAggD,1743770751.044627,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ56W83qGxpPwLGAEgASoCCAEqBwgCFQAAfz8qAggD,1743770751.04939,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-83,0,186,CAEQ6Oajure8zNCBARgCIAEqAggBKgcIAhUAAIA8KgcIAxUAAHw/,1743770751.657346,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
