tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-80,0,31,CAEQgajG3tzVrZ6qARgCIAEqAggBKgcIAhUAAIY+KgcIAxUAAD0/,1743688598.480236,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-78,0,70,CAEQgajG3tzVrZ6qARgCIAEqAggBKgcIAhUAAIY+KgcIAxUAAD0/,1743688598.480914,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-65,0,158,CAEQgajG3tzVrZ6qARgCIAEqAggBKgcIAhUAAIY+KgcIAxUAAD0/,1743688598.481472,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
0,-200,0,0,CAEQgajG3tzVrZ6qARgCIAEqAggBKgcIAhUAAIY+KgcIAxUAAD0/,1743688598.481813,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQgajG3tzVrZ6qARgCIAEqAggBKgcIAhUAAIY+KgcIAxUAAD0/,1743688598.482089,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQgajG3tzVrZ6qARgCIAEqAggBKgcIAhUAAIY+KgcIAxUAAD0/,1743688598.507013,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-62,0,159,CAEQlZORgOTUpbm4ARgFIAEqBwgBFQAAfz8qBwgCFQAAgDsqAggD,1743688598.792493,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-73,0,71,CAEQlZORgOTUpbm4ARgFIAEqBwgBFQAAfz8qBwgCFQAAgDsqAggD,1743688598.795762,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-83,0,32,CAEQlZORgOTUpbm4ARgFIAEqBwgBFQAAfz8qBwgCFQAAgDsqAggD,1743688598.796075,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
0,-200,0,0,CAEQlZORgOTUpbm4ARgFIAEqBwgBFQAAfz8qBwgCFQAAgDsqAggD,1743688598.814429,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQlZORgOTUpbm4ARgFIAEqBwgBFQAAfz8qBwgCFQAAgDsqAggD,1743688598.815246,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-71,0,33,CAEQ9b2OjY3+xdTgARgBIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743688599.086174,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-73,0,72,CAEQ9b2OjY3+xdTgARgBIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743688599.090617,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-55,0,160,CAEQ9b2OjY3+xdTgARgBIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743688599.09225,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ9b2OjY3+xdTgARgBIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743688599.103843,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ9b2OjY3+xdTgARgBIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743688599.10645,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ9b2OjY3+xdTgARgBIAEqAggBKgcIAhUAAH4/KgcIAxUAAAA8,1743688599.112358,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-91,0,34,CAEQ48K+k6Hmv606GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743688599.312118,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-63,0,161,CAEQ48K+k6Hmv606GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743688599.312405,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ48K+k6Hmv606GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743688599.325788,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ48K+k6Hmv606GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743688599.328639,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ48K+k6Hmv606GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743688599.332172,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-67,0,162,CAEQsM+RicjY6+XlARgCIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743688599.460097,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-82,0,73,CAEQsM+RicjY6+XlARgCIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743688599.460519,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
127,-82,0,35,CAEQsM+RicjY6+XlARgCIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743688599.46761,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQsM+RicjY6+XlARgCIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743688599.480727,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQsM+RicjY6+XlARgCIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743688599.490324,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQsM+RicjY6+XlARgCIAEqAggBKgcIAhUAABY/KgcIAxUAANQ+,1743688599.490726,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
127,-65,0,163,CAEQwa7Qi7/3j8OFARgFIAEqAggBKgcIAhUAACs/KgcIAxUAAKo+,1743688599.795223,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-81,0,74,CAEQwa7Qi7/3j8OFARgFIAEqAggBKgcIAhUAACs/KgcIAxUAAKo+,1743688599.79717,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-75,0,36,CAEQwa7Qi7/3j8OFARgFIAEqAggBKgcIAhUAACs/KgcIAxUAAKo+,1743688599.797675,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-73,0,75,CAEQhObHmsSl4+4HGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1743688600.08856,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-57,0,164,CAEQhObHmsSl4+4HGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1743688600.08913,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-64,0,37,CAEQhObHmsSl4+4HGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1743688600.091939,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQhObHmsSl4+4HGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1743688600.104917,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQhObHmsSl4+4HGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1743688600.107281,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQhObHmsSl4+4HGAEgASoCCAEqBwgCFQAAfz8qBwgDFQAAgDs=,1743688600.108826,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-67,0,165,CAEQsvT60JbY+Ou/ARgDIAEqAggBKgcIAhUAAMA+KgcIAxUAACA/,1743688600.309731,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-89,0,38,CAEQsvT60JbY+Ou/ARgDIAEqAggBKgcIAhUAAMA+KgcIAxUAACA/,1743688600.311384,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
0,-200,0,0,CAEQsvT60JbY+Ou/ARgDIAEqAggBKgcIAhUAAMA+KgcIAxUAACA/,1743688600.327689,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQsvT60JbY+Ou/ARgDIAEqAggBKgcIAhUAAMA+KgcIAxUAACA/,1743688600.329304,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQsvT60JbY+Ou/ARgDIAEqAggBKgcIAhUAAMA+KgcIAxUAACA/,1743688600.332816,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
127,-89,0,39,CAEQ8ojq8uKn2ayOARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1743688600.460494,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-82,0,76,CAEQ8ojq8uKn2ayOARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1743688600.463008,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
127,-85,0,166,CAEQ8ojq8uKn2ayOARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1743688600.464919,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ8ojq8uKn2ayOARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1743688600.479324,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ8ojq8uKn2ayOARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1743688600.479959,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ8ojq8uKn2ayOARgCIAEqAggBKgcIAhUAAKA8KgcIAxUAAHs/,1743688600.48054,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-84,0,40,CAEQpcGa58bDwcPcARgFIAEqAggBKgcIAhUAAOg9KgcIAxUAAGM/,1743688600.794488,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-73,0,77,CAEQpcGa58bDwcPcARgFIAEqAggBKgcIAhUAAOg9KgcIAxUAAGM/,1743688600.800381,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-69,0,167,CAEQpcGa58bDwcPcARgFIAEqAggBKgcIAhUAAOg9KgcIAxUAAGM/,1743688600.803639,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
0,-200,0,0,CAEQpcGa58bDwcPcARgFIAEqAggBKgcIAhUAAOg9KgcIAxUAAGM/,1743688600.81624,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQpcGa58bDwcPcARgFIAEqAggBKgcIAhUAAOg9KgcIAxUAAGM/,1743688600.819478,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQpcGa58bDwcPcARgFIAEqAggBKgcIAhUAAOg9KgcIAxUAAGM/,1743688600.820858,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
127,-69,0,41,CAEQ+/K0397KpZzeARgBIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1743688601.087015,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
